speaker,chapter,clips,fp,fpr,mean,max
2094,142345,100,10,10.0,0.1126953125,0.99609375
3576,138058,100,4,4.0,0.055,0.9609375
3536,23268,30,3,10.0,0.09166666666666666,0.45703125
1221,135767,65,3,4.615384615384616,0.03984375,0.62890625
3660,172182,48,2,4.166666666666666,0.054768880208333336,0.8515625
2033,164915,58,2,3.4482758620689653,0.06512661637931035,0.8828125
3536,8226,70,2,2.857142857142857,0.06043526785714286,0.93359375
3660,172183,19,1,5.263157894736842,0.04523026315789474,0.5234375
2033,164916,21,1,4.761904761904762,0.06584821428571429,0.5
2033,164914,21,1,4.761904761904762,0.06901041666666667,0.60546875
1320,122612,24,1,4.166666666666666,0.056966145833333336,0.45703125
2412,153948,24,1,4.166666666666666,0.0546875,0.7890625
367,293981,29,1,3.4482758620689653,0.05428340517241379,0.80078125
3331,159609,40,1,2.5,0.04609375,0.70703125
251,118436,53,1,1.8867924528301887,0.040610259433962265,0.87109375
2412,153954,59,1,1.694915254237288,0.0474708686440678,0.96484375
3331,159605,60,1,1.6666666666666667,0.03274739583333333,0.60546875
367,130732,71,1,1.4084507042253522,0.038567341549295774,0.7890625
1320,122617,76,0,0.0,0.014391447368421052,0.2421875
2428,83699,52,0,0.0,0.018855168269230768,0.12890625
2428,83705,48,0,0.0,0.029703776041666668,0.33203125
2412,153947,17,0,0.0,0.011259191176470588,0.05078125
251,136532,36,0,0.0,0.026801215277777776,0.2421875
251,137823,11,0,0.0,0.030539772727272728,0.1484375
5895,34622,25,0,0.0,0.00953125,0.06640625
5895,34615,41,0,0.0,0.029058689024390245,0.37109375
5895,34629,34,0,0.0,0.00942095588235294,0.06640625
3764,168670,59,0,0.0,0.016353283898305086,0.26171875
3764,168671,41,0,0.0,0.009527439024390244,0.1015625
1221,135766,35,0,0.0,0.02466517857142857,0.19921875
3570,5696,15,0,0.0,0.019791666666666666,0.2421875
3570,5695,43,0,0.0,0.011809593023255814,0.07421875
3570,5694,42,0,0.0,0.00939360119047619,0.1484375
3660,6517,33,0,0.0,0.03586647727272727,0.2265625
