speaker,clips,fp,fpr,mean,p95,max
2094,100,10,10.0,0.1126953125,0.7421874999999998,0.99609375
3536,100,5,5.0,0.0698046875,0.3175781249999997,0.93359375
2033,100,4,4.0,0.06609375,0.3125,0.8828125
3576,100,4,4.0,0.055,0.16777343749999957,0.9609375
1221,100,3,3.0,0.03453125,0.1621093749999999,0.62890625
3660,100,3,3.0,0.04671875,0.18496093749999992,0.8515625
2412,100,2,2.0,0.043046875,0.16132812499999993,0.96484375
3331,100,2,2.0,0.0380859375,0.11874999999999991,0.70703125
367,100,2,2.0,0.043125,0.18496093749999992,0.80078125
1320,100,1,1.0,0.024609375,0.09492187499999993,0.45703125
251,100,1,1.0,0.03453125,0.171875,0.87109375
2428,100,0,0.0,0.0240625,0.12890625,0.33203125
5895,100,0,0.0,0.0175,0.06640625,0.37109375
3764,100,0,0.0,0.0135546875,0.05488281249999999,0.26171875
3570,100,0,0.0,0.0119921875,0.05898437499999998,0.2421875
