name,path,duration_s,window_offset_s,q_out,score,detected,diag_best_q,diag_best_score,diag_best_offset_s,diag_any_fire,diag_n_windows,audio_sha1
ira_0028.wav,D:\SIH\ira-wakeword\ira words\ira words\ira_0028.wav,1.4535,0.2395,-27,0.39453125,False,124,0.984375,0.27,True,47,3188e34a7f0e718faa2aef13740edc1777c6fd77
ira_0177.wav,D:\SIH\ira-wakeword\ira words\ira words\ira_0177.wav,1.2335,0.1437,-27,0.39453125,False,126,0.9921875,0.02,True,25,9638f225913e7ded03c29d7f3169e49783c9e42f
ira_0214.wav,D:\SIH\ira-wakeword\ira words\ira words\ira_0214.wav,1.1535,0.0346,-27,0.39453125,False,57,0.72265625,0.01,True,17,0834d9201cb951f5c81a534a8f4d48bbc40a927f
ira_0481.wav,D:\SIH\ira-wakeword\ira words\ira words\ira_0481.wav,1.0335,0.0334,-27,0.39453125,False,43,0.66796875,0.03,True,5,7655a49b7e08397a971930b48bd326e7e2ec8f95
ira_0552.wav,D:\SIH\ira-wakeword\ira words\ira words\ira_0552.wav,2.0135,0.9359,-27,0.39453125,False,124,0.984375,0.02,True,103,59bf3410788394e9519fe5055d21670de6edf544
ira_0553.wav,D:\SIH\ira-wakeword\ira words\ira words\ira_0553.wav,2.0335,0.5914,-27,0.39453125,False,38,0.6484375,0.03,True,105,6b3eb1b30a01bae3fd227b49abc412ad36d394fa
ira_0641.wav,D:\SIH\ira-wakeword\ira words\ira words\ira_0641.wav,1.3535,0.1849,-27,0.39453125,False,61,0.73828125,0.05,True,37,b9f3323da862f275d18aa60f347611bb61defe59
ira_0656.wav,D:\SIH\ira-wakeword\ira words\ira words\ira_0656.wav,1.5735,0.5734,-27,0.39453125,False,90,0.8515625,0.56,True,59,7c5d186737a49da1129e82125d5e6ffb9e342a10
ira_0678.wav,D:\SIH\ira-wakeword\ira words\ira words\ira_0678.wav,1.2135,0.2135,-27,0.39453125,False,102,0.8984375,0.05,True,23,35bcf497e289260ed3f8fce004e1cbace3f20d12
ira_0719.wav,D:\SIH\ira-wakeword\ira words\ira words\ira_0719.wav,1.7535,0.7535,-27,0.39453125,False,77,0.80078125,0.04,True,77,0e79ca491a9f906603a5729f362b1f311cf788c1
ira_0723.wav,D:\SIH\ira-wakeword\ira words\ira words\ira_0723.wav,1.3535,0.3535,-27,0.39453125,False,48,0.6875,0.32,True,37,b12cfe881b4aad3e97938dbcc20bcd347ed74bc7
