filename,full_path,original_name,session,duration_s,max_q_out_10ms,max_score_10ms,t_max_score_10ms,max_q_out_100ms,max_score_100ms,rms,peak,clipped_samples,clipped_pct,silence_before_s,silence_after_s,active_dur_s,active_rms,crest_factor,LABEL_correct_ira,LABEL_pronunciation_variation,LABEL_unclear_mumbled,LABEL_corrupted_clipped,LABEL_wrong_word,LABEL_multiple_words_speech,LABEL_other,REVIEWER_NOTES
ira_0478.wav,D:\SIH\ira-wakeword\ira words\ira words\ira_0478.wav,WhatsApp Audio 2026-09-07 at 1.21.40 AM (2).wav,S19,1.3335,-27,0.39453125,0.05,-100,0.109375,0.1761480917,0.9616088867,0,0,0.2024375,0.187875,0.9431875,0.2094462919,5.459093412,LABEL_correct_ira = 1,,,,,,,
ira_0695.wav,D:\SIH\ira-wakeword\ira words\ira words\ira_0695.wav,WhatsApp Audio 2026-09-07 at 12.53.30 AM (1).wav,S16,1.1335,-27,0.39453125,0.11,-77,0.19921875,0.0261583357,0.2690124512,0,0,0.55475,0,0.57875,0.03660781156,10.28400485,LABEL_correct_ira = 1,,,,,,,
ira_0189.wav,D:\SIH\ira-wakeword\ira words\ira words\ira_0189.wav,WhatsApp Audio 2026-09-06 at 11.07.38 PM.wav,S07,1.4335,-33,0.37109375,0,-33,0.37109375,0.0530920346,0.2496948242,0,0,0.252,0.3354375,0.8460625,0.06910703686,4.703056232,LABEL_correct_ira = 1,,,,,,,
ira_0372.wav,D:\SIH\ira-wakeword\ira words\ira words\ira_0372.wav,WhatsApp Ptt 2026-09-06 at 11.37.34 PM.wav,S09,0.9535,-33,0.37109375,0,-33,0.37109375,0.1919184496,0.9999694824,2,0.01310959622,0.034125,0,0.919375,0.1954477065,5.210387456,LABEL_correct_ira = 1,,,,,,,
ira_0657.wav,D:\SIH\ira-wakeword\ira words\ira words\ira_0657.wav,WhatsApp Audio 2026-09-07 at 12.49.04 AM.wav,S15,1.5335,-33,0.37109375,0.34,-57,0.27734375,0.01185189163,0.2124023438,0,0,0.0383125,6.25E-05,1.495125,0.0120030183,17.9213876,,,,LABEL_corrupted_clipped = 1,,,,
ira_0741.wav,D:\SIH\ira-wakeword\ira words\ira words\ira_0741.wav,WhatsApp Audio 2026-09-07 at 12.53.44 AM (3).wav,S16,1.2335,-33,0.37109375,0.19,-33,0.37109375,0.1103100467,0.7084655762,0,0,0.67625,0.0530625,0.5041875,0.1725389912,6.422493665,LABEL_correct_ira = 1,,,,,,,
ira_0474.wav,D:\SIH\ira-wakeword\ira words\ira words\ira_0474.wav,WhatsApp Audio 2026-09-07 at 1.21.39 AM (2).wav,S19,0.9735,-38,0.3515625,0,-38,0.3515625,0.218886096,0.9893493652,0,0,0.209125,0.0025625,0.7618125,0.2474340402,4.519927869,LABEL_correct_ira = 1,,,,,,,
ira_0744.wav,D:\SIH\ira-wakeword\ira words\ira words\ira_0744.wav,WhatsApp Audio 2026-09-07 at 12.53.45 AM (2).wav,S16,1.0935,-38,0.3515625,0.06,-81,0.18359375,0.07007619527,0.4360046387,0,0,0.6788125,0,0.4146875,0.1137937102,6.221865172,LABEL_correct_ira = 1,,,,,,,
ira_0401.wav,D:\SIH\ira-wakeword\ira words\ira words\ira_0401.wav,WhatsApp Audio 2026-09-07 at 1.09.55 AM.wav,S17,1.1335,-43,0.33203125,0.02,-90,0.1484375,0.115870599,0.8077087402,0,0,0.452625,0.0084375,0.6724375,0.1504353691,6.970782469,LABEL_correct_ira = 1,,,,,,,
ira_0573.wav,D:\SIH\ira-wakeword\ira words\ira words\ira_0573.wav,WhatsApp Audio 2026-09-07 at 12.25.04 AM.wav,S13,1.5735,-43,0.33203125,0.13,-61,0.26171875,0.1221340578,1,1,0.003972036861,0.0590625,0,1.5144375,0.1244924677,8.187724355,LABEL_correct_ira = 1,,,,,,,
ira_0658.wav,D:\SIH\ira-wakeword\ira words\ira words\ira_0658.wav,WhatsApp Audio 2026-09-07 at 12.49.16 AM.wav,S15,1.4535,-43,0.33203125,0.2,-43,0.33203125,0.1009965442,0.9501647949,0,0,0.32025,0.0695625,1.0636875,0.1180592756,9.40789413,LABEL_correct_ira = 1,,,,,,,
ira_0016.wav,D:\SIH\ira-wakeword\ira words\ira words\ira_0016.wav,WhatsApp Ptt 2026-09-06 at 10.14.40 PM.wav,S01,1.6535,-48,0.3125,0.02,-74,0.2109375,0.1502320818,0.8446655273,0,0,0.1705,0,1.483,0.1586330203,5.622404464,LABEL_correct_ira = 1,,,,,,,
ira_0188.wav,D:\SIH\ira-wakeword\ira words\ira words\ira_0188.wav,WhatsApp Audio 2026-09-06 at 11.07.38 PM (2).wav,S07,1.4935,-48,0.3125,0.31,-66,0.2421875,0.05583462042,0.2834472656,0,0,0.527375,0.1111875,0.8549375,0.07379507973,5.076550418,LABEL_correct_ira = 1,,,,,,,
ira_0195.wav,D:\SIH\ira-wakeword\ira words\ira words\ira_0195.wav,WhatsApp Audio 2026-09-06 at 11.07.40 PM.wav,S07,1.1735,-48,0.3125,0.13,-61,0.26171875,0.07176150445,0.4376831055,0,0,0.3379375,0.216125,0.6194375,0.09876957429,6.099135028,LABEL_correct_ira = 1,,,,,,,
ira_0454.wav,D:\SIH\ira-wakeword\ira words\ira words\ira_0454.wav,WhatsApp Audio 2026-09-07 at 1.21.33 AM (1).wav,S19,0.9935,-53,0.29296875,0,-53,0.29296875,0.1500340655,0.7354431152,0,0,0.2543125,0.000125,0.7390625,0.1739524238,4.901840879,LABEL_correct_ira = 1,,,,,,,
ira_0539.wav,D:\SIH\ira-wakeword\ira words\ira words\ira_0539.wav,WhatsApp Audio 2026-09-07 at 12.04.13 AM (1).wav,S12,1.9935,-53,0.29296875,0.01,-70,0.2265625,0.06249919247,0.3497009277,0,0,0.1591875,0.34875,1.4855625,0.07239960754,5.595287137,LABEL_correct_ira = 1,,,,,,,
ira_0556.wav,D:\SIH\ira-wakeword\ira words\ira words\ira_0556.wav,WhatsApp Audio 2026-09-07 at 12.24.58 AM.wav,S13,1.6935,-53,0.29296875,0.6935,-53,0.29296875,0.08745104966,0.7614746094,0,0,0.1591875,0.074625,1.4596875,0.09419472172,8.707438188,LABEL_correct_ira = 1,,,,,,,
ira_0687.wav,D:\SIH\ira-wakeword\ira words\ira words\ira_0687.wav,WhatsApp Audio 2026-09-07 at 12.53.27 AM (3).wav,S16,1.3335,-53,0.29296875,0.21,-66,0.2421875,0.05302048762,0.4650878906,0,0,0.6699375,0.2069375,0.456625,0.09060499406,8.771852383,LABEL_correct_ira = 1,,,,,,,
ira_0190.wav,D:\SIH\ira-wakeword\ira words\ira words\ira_0190.wav,WhatsApp Audio 2026-09-06 at 11.07.39 PM (1).wav,S07,1.2935,-57,0.27734375,0.02,-70,0.2265625,0.07567518927,0.3903808594,0,0,0.21025,0.461,0.62225,0.1091039178,5.15863737,LABEL_correct_ira = 1,,,,,,,
ira_0251.wav,D:\SIH\ira-wakeword\ira words\ira words\ira_0251.wav,WhatsApp Ptt 2026-09-06 at 11.26.01 PM.wav,S08,1.0535,-61,0.26171875,0,-61,0.26171875,0.09050625836,0.6735839844,0,0,0.156625,0,0.896875,0.09809105673,7.442402289,,,LABEL_unclear_mumbled =1,,,,,
ira_0368.wav,D:\SIH\ira-wakeword\ira words\ira words\ira_0368.wav,WhatsApp Ptt 2026-09-06 at 11.37.15 PM.wav,S09,0.9735,-61,0.26171875,0,-61,0.26171875,0.2036504635,0.9999694824,6,0.03852080123,0.16725,0,0.80625,0.2237781241,4.910224437,LABEL_correct_ira = 1,,,,,,,
ira_0018.wav,D:\SIH\ira-wakeword\ira words\ira words\ira_0018.wav,WhatsApp Ptt 2026-09-06 at 10.14.53 PM.wav,S01,1.2535,-66,0.2421875,0.01,-98,0.1171875,0.1518916737,0.9639587402,0,0,0.1579375,0.0019375,1.093625,0.1626153258,6.346356696,LABEL_correct_ira = 1,,,,,,,
