filename,full_path,original_name,session,duration_s,max_q_out_10ms,max_score_10ms,t_max_score_10ms,max_q_out_100ms,max_score_100ms,rms,peak,clipped_samples,clipped_pct,silence_before_s,silence_after_s,active_dur_s,active_rms,crest_factor,LABEL_correct_ira,LABEL_pronunciation_variation,LABEL_unclear_mumbled,LABEL_corrupted_clipped,LABEL_wrong_word,LABEL_multiple_words_speech,LABEL_other,REVIEWER_NOTES
ira_0478.wav,D:\SIH\ira-wakeword\ira words\ira words\ira_0478.wav,WhatsApp Audio 2026-09-07 at 1.21.40 AM (2).wav,S19,1.3335,-27,0.39453125,0.05,-100,0.109375,0.1761480916667444,0.96160888671875,0,0.0,0.2024375,0.187875,0.9431875,0.20944629192900768,5.459093411798202,,,,,,,,
ira_0695.wav,D:\SIH\ira-wakeword\ira words\ira words\ira_0695.wav,WhatsApp Audio 2026-09-07 at 12.53.30 AM (1).wav,S16,1.1335,-27,0.39453125,0.11,-77,0.19921875,0.026158335697475936,0.269012451171875,0,0.0,0.55475,0.0,0.57875,0.03660781156447612,10.28400484965993,,,,,,,,
ira_0189.wav,D:\SIH\ira-wakeword\ira words\ira words\ira_0189.wav,WhatsApp Audio 2026-09-06 at 11.07.38 PM.wav,S07,1.4335,-33,0.37109375,0.0,-33,0.37109375,0.0530920346043134,0.24969482421875,0,0.0,0.252,0.3354375,0.8460625,0.0691070368578345,4.703056232063554,,,,,,,,
ira_0372.wav,D:\SIH\ira-wakeword\ira words\ira words\ira_0372.wav,WhatsApp Ptt 2026-09-06 at 11.37.34 PM.wav,S09,0.9535,-33,0.37109375,0.0,-33,0.37109375,0.19191844962660573,0.999969482421875,2,0.013109596224436287,0.034125,0.0,0.919375,0.19544770653184257,5.210387455543768,,,,,,,,
ira_0657.wav,D:\SIH\ira-wakeword\ira words\ira words\ira_0657.wav,WhatsApp Audio 2026-09-07 at 12.49.04 AM.wav,S15,1.5335,-33,0.37109375,0.34,-57,0.27734375,0.011851891634582537,0.21240234375,0,0.0,0.0383125,6.25e-05,1.495125,0.01200301830384026,17.92138759775975,,,,,,,,
ira_0741.wav,D:\SIH\ira-wakeword\ira words\ira words\ira_0741.wav,WhatsApp Audio 2026-09-07 at 12.53.44 AM (3).wav,S16,1.2335,-33,0.37109375,0.19,-33,0.37109375,0.1103100467075234,0.708465576171875,0,0.0,0.67625,0.0530625,0.5041875,0.1725389912047927,6.422493665063021,,,,,,,,
ira_0474.wav,D:\SIH\ira-wakeword\ira words\ira words\ira_0474.wav,WhatsApp Audio 2026-09-07 at 1.21.39 AM (2).wav,S19,0.9735,-38,0.3515625,0.0,-38,0.3515625,0.21888609596897646,0.989349365234375,0,0.0,0.209125,0.0025625,0.7618125,0.24743404020982607,4.519927868669187,,,,,,,,
ira_0744.wav,D:\SIH\ira-wakeword\ira words\ira words\ira_0744.wav,WhatsApp Audio 2026-09-07 at 12.53.45 AM (2).wav,S16,1.0935,-38,0.3515625,0.06,-81,0.18359375,0.07007619526514845,0.436004638671875,0,0.0,0.6788125,0.0,0.4146875,0.11379371021629445,6.221865171505917,,,,,,,,
ira_0401.wav,D:\SIH\ira-wakeword\ira words\ira words\ira_0401.wav,WhatsApp Audio 2026-09-07 at 1.09.55 AM.wav,S17,1.1335,-43,0.33203125,0.02,-90,0.1484375,0.11587059899960808,0.807708740234375,0,0.0,0.452625,0.0084375,0.6724375,0.15043536905271668,6.97078246947793,,,,,,,,
ira_0573.wav,D:\SIH\ira-wakeword\ira words\ira words\ira_0573.wav,WhatsApp Audio 2026-09-07 at 12.25.04 AM.wav,S13,1.5735,-43,0.33203125,0.13,-61,0.26171875,0.1221340578433755,1.0,1,0.003972036860502065,0.0590625,0.0,1.5144375,0.12449246774752754,8.187724355170433,,,,,,,,
ira_0658.wav,D:\SIH\ira-wakeword\ira words\ira words\ira_0658.wav,WhatsApp Audio 2026-09-07 at 12.49.16 AM.wav,S15,1.4535,-43,0.33203125,0.2,-43,0.33203125,0.10099654416186254,0.950164794921875,0,0.0,0.32025,0.0695625,1.0636875,0.11805927559226048,9.40789412951684,,,,,,,,
ira_0016.wav,D:\SIH\ira-wakeword\ira words\ira words\ira_0016.wav,WhatsApp Ptt 2026-09-06 at 10.14.40 PM.wav,S01,1.6535,-48,0.3125,0.02,-74,0.2109375,0.15023208181157213,0.84466552734375,0,0.0,0.1705,0.0,1.483,0.15863302033047516,5.622404463536408,,,,,,,,
ira_0188.wav,D:\SIH\ira-wakeword\ira words\ira words\ira_0188.wav,WhatsApp Audio 2026-09-06 at 11.07.38 PM (2).wav,S07,1.4935,-48,0.3125,0.31,-66,0.2421875,0.05583462042128084,0.283447265625,0,0.0,0.527375,0.1111875,0.8549375,0.07379507972749069,5.076550417757774,,,,,,,,
