name,path,duration_s,window_offset_s,q_out,score,detected,diag_best_q,diag_best_score,diag_best_offset_s,diag_any_fire,diag_n_windows,audio_sha1
ira_0001.wav,D:\SIH\ira-wakeword\ira words\ira words\ira_0001.wav,0.9735,0.0,100,0.890625,True,100,0.890625,0.0,True,1,07ee032010494f5cfadd43fc67e2e7f584126d63
ira_0002.wav,D:\SIH\ira-wakeword\ira words\ira words\ira_0002.wav,0.9535,0.0,124,0.984375,True,124,0.984375,0.0,True,1,2a71b6abdccd29747714ea8a7bd16e2f8ba6e580
ira_0003.wav,D:\SIH\ira-wakeword\ira words\ira words\ira_0003.wav,1.3335,0.2667,93,0.86328125,True,115,0.94921875,0.3335,True,35,c44075c4ce1c4ce2cb1ab9d0c907affe44dc0645
ira_0004.wav,D:\SIH\ira-wakeword\ira words\ira words\ira_0004.wav,1.2535,0.1659,66,0.7578125,True,125,0.98828125,0.02,True,27,5bb242c2372965ee6c76e56f85a11de48ff12c7f
ira_0005.wav,D:\SIH\ira-wakeword\ira words\ira words\ira_0005.wav,1.3935,0.1676,112,0.9375,True,126,0.9921875,0.06,True,41,5877f78ba38d26d14c3034a607659053b1876714
ira_0006.wav,D:\SIH\ira-wakeword\ira words\ira words\ira_0006.wav,1.0135,0.0135,125,0.98828125,True,126,0.9921875,0.01,True,3,34b1002884382f3fa09af59b8f473d3b0164fe53
ira_0007.wav,D:\SIH\ira-wakeword\ira words\ira words\ira_0007.wav,0.8935,0.0,112,0.9375,True,112,0.9375,0.0,True,1,df338bcbc668f2fa81994fc3a6e2af86f8005b6e
ira_0008.wav,D:\SIH\ira-wakeword\ira words\ira words\ira_0008.wav,1.3935,0.1653,117,0.95703125,True,123,0.98046875,0.08,True,41,7ecefb19284b8fa29934e3b67b5776c6ce4364f7
ira_0009.wav,D:\SIH\ira-wakeword\ira words\ira words\ira_0009.wav,1.5535,0.1666,95,0.87109375,True,123,0.98046875,0.5,True,57,9dcda06b845e0c635824f8163955715184951ffb
ira_0010.wav,D:\SIH\ira-wakeword\ira words\ira words\ira_0010.wav,1.4335,0.1619,109,0.92578125,True,126,0.9921875,0.06,True,45,69a39c4acdbaf56b7c2cf148ac309d74a2603fc7
ira_0011.wav,D:\SIH\ira-wakeword\ira words\ira words\ira_0011.wav,0.9535,0.0,126,0.9921875,True,126,0.9921875,0.0,True,1,aadbf6b11cefa929e9ef41930b5a481492175b28
ira_0012.wav,D:\SIH\ira-wakeword\ira words\ira words\ira_0012.wav,1.2335,0.2,33,0.62890625,True,121,0.97265625,0.0,True,25,b188cbdcf4fd74c2f6738c539fa8258d1833eb29
ira_0013.wav,D:\SIH\ira-wakeword\ira words\ira words\ira_0013.wav,1.3335,0.1973,17,0.56640625,True,109,0.92578125,0.02,True,35,dd1b65fa4edebb7389beb4f59089f8df9ffa4246
ira_0014.wav,D:\SIH\ira-wakeword\ira words\ira words\ira_0014.wav,1.2735,0.2277,106,0.9140625,True,124,0.984375,0.06,True,29,6eac0fb5c8172800f0e8ec15f1855f2279f091e7
ira_0015.wav,D:\SIH\ira-wakeword\ira words\ira words\ira_0015.wav,0.9935,0.0,115,0.94921875,True,115,0.94921875,0.0,True,1,34e382144aa3b05590471b1a4bcf30961ef923e8
ira_0016.wav,D:\SIH\ira-wakeword\ira words\ira words\ira_0016.wav,1.6535,0.4128,-128,0.0,False,-48,0.3125,0.02,False,67,6853eb71b924937f630e1185279e4fd0e60126d6
ira_0017.wav,D:\SIH\ira-wakeword\ira words\ira words\ira_0017.wav,1.4735,0.3902,-125,0.01171875,False,43,0.66796875,0.04,True,49,3fe4172882c88e7a6e07997fa70dd179c255e89a
ira_0018.wav,D:\SIH\ira-wakeword\ira words\ira words\ira_0018.wav,1.2535,0.2202,-127,0.00390625,False,-66,0.2421875,0.01,False,27,c78a2cee0b460302e55a1064e2e89b89046ad103
ira_0019.wav,D:\SIH\ira-wakeword\ira words\ira words\ira_0019.wav,1.4535,0.1819,-106,0.0859375,False,90,0.8515625,0.25,True,47,b96b15e721e89ac29850d106f0f38241e82d3e49
ira_0020.wav,D:\SIH\ira-wakeword\ira words\ira words\ira_0020.wav,1.4535,0.2146,-84,0.171875,False,104,0.90625,0.01,True,47,bebfe2dfe6cde8cf4e6da03cfbc804139021ae8f
ira_0021.wav,D:\SIH\ira-wakeword\ira words\ira words\ira_0021.wav,1.6535,0.4144,123,0.98046875,True,127,0.99609375,0.48,True,67,5a56427e661ba5dde592b39a1130cf69b7ebed70
ira_0022.wav,D:\SIH\ira-wakeword\ira words\ira words\ira_0022.wav,1.3335,0.3172,93,0.86328125,True,102,0.8984375,0.23,True,35,ac2076af9e77a571d584f65fb5a66c2335773ca1
ira_0023.wav,D:\SIH\ira-wakeword\ira words\ira words\ira_0023.wav,1.3935,0.1963,-102,0.1015625,False,115,0.94921875,0.01,True,41,38962941683fd8e5cd1621cdaa4f8147ebafb0de
ira_0024.wav,D:\SIH\ira-wakeword\ira words\ira words\ira_0024.wav,1.2335,0.2101,17,0.56640625,True,104,0.90625,0.02,True,25,137a1e30f14e63229a033e9a481db1b0c0eab10d
ira_0025.wav,D:\SIH\ira-wakeword\ira words\ira words\ira_0025.wav,0.8535,0.0,119,0.96484375,True,119,0.96484375,0.0,True,1,b43fde75c316a7ecfcc826faf34addb616d29ac9
ira_0026.wav,D:\SIH\ira-wakeword\ira words\ira words\ira_0026.wav,1.1335,0.1335,66,0.7578125,True,113,0.94140625,0.09,True,15,901b93af9b5c7e600b13bee38427bf8e758da3ee
ira_0027.wav,D:\SIH\ira-wakeword\ira words\ira words\ira_0027.wav,1.2335,0.1731,124,0.984375,True,127,0.99609375,0.01,True,25,c64c9cd3636edadca96cae98fb71535272db7d8e
ira_0028.wav,D:\SIH\ira-wakeword\ira words\ira words\ira_0028.wav,1.4535,0.2395,-27,0.39453125,False,124,0.984375,0.27,True,47,3188e34a7f0e718faa2aef13740edc1777c6fd77
ira_0029.wav,D:\SIH\ira-wakeword\ira words\ira words\ira_0029.wav,1.7335,0.1867,126,0.9921875,True,127,0.99609375,0.0,True,75,b96fe79c8482219912aadda4c97131c7d3c66f20
ira_0030.wav,D:\SIH\ira-wakeword\ira words\ira words\ira_0030.wav,1.1135,0.1135,27,0.60546875,True,118,0.9609375,0.04,True,13,a4ea1db1b8e3f093b5019cfae2bda1f282abf8b2
ira_0031.wav,D:\SIH\ira-wakeword\ira words\ira words\ira_0031.wav,0.9935,0.0,124,0.984375,True,124,0.984375,0.0,True,1,7f818433765e32ea6826f37bcdd4fe01d30711f2
ira_0032.wav,D:\SIH\ira-wakeword\ira words\ira words\ira_0032.wav,1.4335,0.4335,-17,0.43359375,True,126,0.9921875,0.0,True,45,93259219642f3af0fb63a4151c2f41eb33b36f22
ira_0033.wav,D:\SIH\ira-wakeword\ira words\ira words\ira_0033.wav,1.6335,0.1854,-84,0.171875,False,120,0.96875,0.01,True,65,987254bec6860ffebe41e6c847747db2595e80f8
ira_0034.wav,D:\SIH\ira-wakeword\ira words\ira words\ira_0034.wav,1.0935,0.0935,127,0.99609375,True,127,0.99609375,0.0935,True,11,d601a7add93387d80cf3d8599ef0f8fc6bdd2336
ira_0035.wav,D:\SIH\ira-wakeword\ira words\ira words\ira_0035.wav,1.2535,0.2522,113,0.94140625,True,127,0.99609375,0.17,True,27,a867157babce67b58b5d540a1296305562734ee7
ira_0036.wav,D:\SIH\ira-wakeword\ira words\ira words\ira_0036.wav,1.1135,0.1135,-6,0.4765625,True,116,0.953125,0.04,True,13,92521a9385a0d8825b0c44ccf4b24a216461b7db
ira_0037.wav,D:\SIH\ira-wakeword\ira words\ira words\ira_0037.wav,1.3535,0.3535,-121,0.02734375,False,126,0.9921875,0.01,True,37,81acd34c3376a34e6a396aeb00d08926b02b2c33
ira_0038.wav,D:\SIH\ira-wakeword\ira words\ira words\ira_0038.wav,1.2935,0.1869,-22,0.4140625,True,126,0.9921875,0.04,True,31,5cf9e161ebd650558f0a910442321373c58dc4bc
ira_0039.wav,D:\SIH\ira-wakeword\ira words\ira words\ira_0039.wav,1.0135,0.0135,126,0.9921875,True,127,0.99609375,0.0,True,3,6c2353f0c76a4f39762f2027830070b2f5a9323d
ira_0040.wav,D:\SIH\ira-wakeword\ira words\ira words\ira_0040.wav,1.3735,0.2519,-70,0.2265625,False,109,0.92578125,0.0,True,39,0ef041471805ae12a801d8f33d7e06320202079a
ira_0041.wav,D:\SIH\ira-wakeword\ira words\ira words\ira_0041.wav,0.6735,0.0,119,0.96484375,True,119,0.96484375,0.0,True,1,a4cbe8fc334f319eca114f4c5864ea42e46823ee
ira_0042.wav,D:\SIH\ira-wakeword\ira words\ira words\ira_0042.wav,1.0135,0.0134,124,0.984375,True,125,0.98828125,0.0,True,3,c297b79c1eb212edf7b9f278c8b7f143a278b3d5
ira_0043.wav,D:\SIH\ira-wakeword\ira words\ira words\ira_0043.wav,1.3535,0.1708,108,0.921875,True,126,0.9921875,0.12,True,37,5fa6331952f89b6627a6e7c5c5b6f0a10275400d
ira_0044.wav,D:\SIH\ira-wakeword\ira words\ira words\ira_0044.wav,0.9135,0.0,114,0.9453125,True,114,0.9453125,0.0,True,1,0aef03c97b9e751c41b3f26121df9f354d75ca33
ira_0045.wav,D:\SIH\ira-wakeword\ira words\ira words\ira_0045.wav,0.9935,0.0,126,0.9921875,True,126,0.9921875,0.0,True,1,b6269a3617da9e9165b0c1b22bce6b46acf255a5
ira_0046.wav,D:\SIH\ira-wakeword\ira words\ira words\ira_0046.wav,2.0735,0.2689,-48,0.3125,False,126,0.9921875,0.02,True,109,d2f18c59a73c480e938d3eca7f4da211b6f7262a
ira_0047.wav,D:\SIH\ira-wakeword\ira words\ira words\ira_0047.wav,1.0135,0.0135,100,0.890625,True,108,0.921875,0.0,True,3,60d7e0a00d369e696ba3dd9aa8158b0812d1c432
ira_0048.wav,D:\SIH\ira-wakeword\ira words\ira words\ira_0048.wav,1.4535,0.1923,126,0.9921875,True,127,0.99609375,0.0,True,47,f658477fa879c53568877a025236b832db5147e2
ira_0049.wav,D:\SIH\ira-wakeword\ira words\ira words\ira_0049.wav,1.5935,0.1939,-43,0.33203125,False,123,0.98046875,0.0,True,61,ad8e8b40b9965bfbc6f42b2dc463ff145bff68f2
ira_0050.wav,D:\SIH\ira-wakeword\ira words\ira words\ira_0050.wav,0.9735,0.0,127,0.99609375,True,127,0.99609375,0.0,True,1,85acfe883b6e23e44f9e27f221bf987065f99a5d
ira_0051.wav,D:\SIH\ira-wakeword\ira words\ira words\ira_0051.wav,1.1735,0.1733,127,0.99609375,True,127,0.99609375,0.1733,True,19,c5e3eebfb30aae72cd681a322a678abbf0b76f99
ira_0052.wav,D:\SIH\ira-wakeword\ira words\ira words\ira_0052.wav,1.5735,0.1898,6,0.5234375,True,117,0.95703125,0.02,True,59,6e997a3521a6e2993e8245e30719be6d12afe52d
ira_0053.wav,D:\SIH\ira-wakeword\ira words\ira words\ira_0053.wav,1.5535,0.2155,114,0.9453125,True,126,0.9921875,0.45,True,57,c78eab8f88c47ac214196886ea2ecacc2e9eb442
ira_0054.wav,D:\SIH\ira-wakeword\ira words\ira words\ira_0054.wav,2.0335,0.7947,-112,0.0625,False,108,0.921875,0.03,True,105,22529bf3935f76c86477063fd4d4f6f35a9ef3c8
ira_0055.wav,D:\SIH\ira-wakeword\ira words\ira words\ira_0055.wav,1.1935,0.1903,43,0.66796875,True,121,0.97265625,0.0,True,21,772a35fd4f9124c049542db6bceaf1356243790b
ira_0056.wav,D:\SIH\ira-wakeword\ira words\ira words\ira_0056.wav,1.1535,0.1535,125,0.98828125,True,127,0.99609375,0.0,True,17,0179463c9bbb9d20cec51c54409e6b68c9a2fd09
ira_0057.wav,D:\SIH\ira-wakeword\ira words\ira words\ira_0057.wav,1.1935,0.1926,-17,0.43359375,True,100,0.890625,0.05,True,21,14bf87a7fceea939dbf4cde50d04429285645ecd
ira_0058.wav,D:\SIH\ira-wakeword\ira words\ira words\ira_0058.wav,1.3135,0.3135,-123,0.01953125,False,57,0.72265625,0.0,True,33,722778bdb769203e54aefc70a4557e9d2fdb619e
ira_0059.wav,D:\SIH\ira-wakeword\ira words\ira words\ira_0059.wav,1.5335,0.4017,-81,0.18359375,False,114,0.9453125,0.02,True,55,2999ae8b6f0018b47637506613e5240a2e7e0a60
ira_0060.wav,D:\SIH\ira-wakeword\ira words\ira words\ira_0060.wav,2.0535,0.1754,117,0.95703125,True,127,0.99609375,0.02,True,107,d1f5e98586c313042f0d4f23595169d2dd441f8e
ira_0061.wav,D:\SIH\ira-wakeword\ira words\ira words\ira_0061.wav,1.1735,0.1536,127,0.99609375,True,127,0.99609375,0.1536,True,19,61d68c1cb6413d4a68be5b8bb937f9f11eb44cf5
ira_0062.wav,D:\SIH\ira-wakeword\ira words\ira words\ira_0062.wav,1.3935,0.1589,-117,0.04296875,False,109,0.92578125,0.03,True,41,1eff5f6eafe04b0150467d43d5dcf7103086478c
ira_0063.wav,D:\SIH\ira-wakeword\ira words\ira words\ira_0063.wav,1.9735,0.6594,-126,0.0078125,False,123,0.98046875,0.97,True,99,aa2917cb7bb39bfbf63b4b014300244fccdf6d42
ira_0064.wav,D:\SIH\ira-wakeword\ira words\ira words\ira_0064.wav,1.5335,0.1837,-119,0.03515625,False,93,0.86328125,0.46,True,55,735623bef64c78e1e56cb910190f4494f2a5972c
ira_0065.wav,D:\SIH\ira-wakeword\ira words\ira words\ira_0065.wav,1.3535,0.1817,113,0.94140625,True,126,0.9921875,0.07,True,37,c8c58e76b55a3bbe8cd808d75a3cfd61c288fa0d
ira_0066.wav,D:\SIH\ira-wakeword\ira words\ira words\ira_0066.wav,1.3935,0.1569,0,0.5,True,114,0.9453125,0.09,True,41,d7ab067115a71749542f3e5a90267c9c4c798f20
ira_0067.wav,D:\SIH\ira-wakeword\ira words\ira words\ira_0067.wav,1.1935,0.1756,113,0.94140625,True,126,0.9921875,0.01,True,21,16d83079e8f81f408683b33143b6b7a976d5d51d
ira_0068.wav,D:\SIH\ira-wakeword\ira words\ira words\ira_0068.wav,1.7935,0.6448,-126,0.0078125,False,123,0.98046875,0.02,True,81,3af4a9ff834dceb04513eb17c7b33d58adaa7755
ira_0069.wav,D:\SIH\ira-wakeword\ira words\ira words\ira_0069.wav,1.3535,0.215,-84,0.171875,False,102,0.8984375,0.01,True,37,c49b76eb23611d61e3bcc98389b4670e0e8e4540
ira_0070.wav,D:\SIH\ira-wakeword\ira words\ira words\ira_0070.wav,1.5535,0.5148,-95,0.12890625,False,93,0.86328125,0.01,True,57,dcd1cca7cdfa54fdd734bb263b74f783f1adf78a
ira_0071.wav,D:\SIH\ira-wakeword\ira words\ira words\ira_0071.wav,1.3735,0.1918,115,0.94921875,True,126,0.9921875,0.02,True,39,8fa8de9693bdd61a8a886dc59b992ae3110f99d3
ira_0072.wav,D:\SIH\ira-wakeword\ira words\ira words\ira_0072.wav,1.3335,0.1842,116,0.953125,True,126,0.9921875,0.04,True,35,5f480b69cd975375eeaea22157b5f527b1aa17f2
ira_0073.wav,D:\SIH\ira-wakeword\ira words\ira words\ira_0073.wav,1.1535,0.1535,124,0.984375,True,127,0.99609375,0.03,True,17,8ef22bd56723efbf9e5b1b2b5159244e139d802a
ira_0074.wav,D:\SIH\ira-wakeword\ira words\ira words\ira_0074.wav,1.6335,0.2034,74,0.7890625,True,127,0.99609375,0.02,True,65,31092b1defdbf6822bb1c98b204650e79b1765b7
ira_0075.wav,D:\SIH\ira-wakeword\ira words\ira words\ira_0075.wav,0.9735,0.0,120,0.96875,True,120,0.96875,0.0,True,1,141b4236e104c2225646b91f50409c856108d81a
ira_0076.wav,D:\SIH\ira-wakeword\ira words\ira words\ira_0076.wav,1.1335,0.1335,77,0.80078125,True,124,0.984375,0.04,True,15,0de9bb157de691268253c5ccb6d49b6f4245b8f8
ira_0077.wav,D:\SIH\ira-wakeword\ira words\ira words\ira_0077.wav,1.1735,0.1552,-22,0.4140625,True,116,0.953125,0.01,True,19,b4b622c1193df4295ed894d3be6558d1abc86cc3
ira_0078.wav,D:\SIH\ira-wakeword\ira words\ira words\ira_0078.wav,1.3735,0.3613,-87,0.16015625,False,48,0.6875,0.04,True,39,6703edef95928b6485f3aca635f956e1cb97f18f
ira_0079.wav,D:\SIH\ira-wakeword\ira words\ira words\ira_0079.wav,1.4135,0.1602,27,0.60546875,True,108,0.921875,0.07,True,43,ec65a4f327f8808e871ded076ceb7769c1feae38
ira_0080.wav,D:\SIH\ira-wakeword\ira words\ira words\ira_0080.wav,1.2535,0.1751,114,0.9453125,True,126,0.9921875,0.0,True,27,6982f39a0bd01bbc6b5b92db30c49a52ef53755d
ira_0081.wav,D:\SIH\ira-wakeword\ira words\ira words\ira_0081.wav,1.0535,0.0535,127,0.99609375,True,127,0.99609375,0.0535,True,7,df40ed96da5e97da083b47c43b7b80e0c9bae5b1
ira_0082.wav,D:\SIH\ira-wakeword\ira words\ira words\ira_0082.wav,1.5535,0.1554,70,0.7734375,True,113,0.94140625,0.02,True,57,2731f5377a67e0acd6183f9d890ecb33804463d6
ira_0083.wav,D:\SIH\ira-wakeword\ira words\ira words\ira_0083.wav,1.4135,0.1894,87,0.83984375,True,125,0.98828125,0.07,True,43,8fe7090662c29eb146431dc6b64a2ee52e8c3a5d
ira_0084.wav,D:\SIH\ira-wakeword\ira words\ira words\ira_0084.wav,1.0335,0.0335,104,0.90625,True,123,0.98046875,0.02,True,5,52a4af8603cb5be6f0dc4d556c29f6524118655a
ira_0085.wav,D:\SIH\ira-wakeword\ira words\ira words\ira_0085.wav,1.2735,0.2543,113,0.94140625,True,127,0.99609375,0.01,True,29,af25a6e30f194b4212c8f60ffdc316991c799a01
ira_0086.wav,D:\SIH\ira-wakeword\ira words\ira words\ira_0086.wav,1.0735,0.0735,66,0.7578125,True,113,0.94140625,0.0,True,9,c5a7f2aa8011515f8c2c3bd65a55bd4415bb23eb
ira_0087.wav,D:\SIH\ira-wakeword\ira words\ira words\ira_0087.wav,1.2535,0.1741,-22,0.4140625,True,126,0.9921875,0.02,True,27,583327fcdb818a302d44c2d54621bd9125f7cb0c
ira_0088.wav,D:\SIH\ira-wakeword\ira words\ira words\ira_0088.wav,1.3135,0.1663,-17,0.43359375,True,123,0.98046875,0.04,True,33,cb357c95d833c47f30110da69d85c4f5194c1cc3
ira_0089.wav,D:\SIH\ira-wakeword\ira words\ira words\ira_0089.wav,1.1735,0.1541,57,0.72265625,True,124,0.984375,0.01,True,19,f4f3f8332979161811a8864e0acaca159dd6047a
ira_0090.wav,D:\SIH\ira-wakeword\ira words\ira words\ira_0090.wav,0.9535,0.0,120,0.96875,True,120,0.96875,0.0,True,1,c24958f719be634b861beef63d50ed1313a1df25
ira_0091.wav,D:\SIH\ira-wakeword\ira words\ira words\ira_0091.wav,1.1935,0.1934,114,0.9453125,True,127,0.99609375,0.01,True,21,90af85040f0c69b79ab985aad1a84e68cb638120
ira_0092.wav,D:\SIH\ira-wakeword\ira words\ira words\ira_0092.wav,1.1735,0.1529,-33,0.37109375,False,125,0.98828125,0.01,True,19,12a727421c5777d8f3d265f5fef889321a23e3a7
ira_0093.wav,D:\SIH\ira-wakeword\ira words\ira words\ira_0093.wav,1.1135,0.1135,113,0.94140625,True,127,0.99609375,0.0,True,13,aae28f4ae103406d1982287be1bb10c2d9c78488
ira_0094.wav,D:\SIH\ira-wakeword\ira words\ira words\ira_0094.wav,1.1935,0.1556,6,0.5234375,True,122,0.9765625,0.05,True,21,e98895e39deef99eca67f1e4a63dd16a37c70167
ira_0095.wav,D:\SIH\ira-wakeword\ira words\ira words\ira_0095.wav,1.0535,0.0535,120,0.96875,True,122,0.9765625,0.02,True,7,adff9dc77ff7c9cd7ce8ccbe649e79bf3c266bd8
ira_0096.wav,D:\SIH\ira-wakeword\ira words\ira words\ira_0096.wav,1.0335,0.0335,126,0.9921875,True,126,0.9921875,0.0335,True,5,47e9e603ecc276547b96d7d6ed49df1fcc3c2242
ira_0097.wav,D:\SIH\ira-wakeword\ira words\ira words\ira_0097.wav,1.3335,0.1889,98,0.8828125,True,123,0.98046875,0.01,True,35,21e29bfd4315c920bcea372f62b6b77730392652
ira_0098.wav,D:\SIH\ira-wakeword\ira words\ira words\ira_0098.wav,1.2535,0.1867,-66,0.2421875,False,125,0.98828125,0.04,True,27,a5f1822f778b3bed71e438d6c01abb1f39e86a3c
