name,path,duration_s,window_offset_s,q_out,score,detected,diag_best_q,diag_best_score,diag_best_offset_s,diag_any_fire,diag_n_windows,audio_sha1
WhatsApp Audio 2026-09-06 at 11.07.35 PM.wav,D:\SIH\ira-wakeword\today ira wav\today ira wav\WhatsApp Audio 2026-09-06 at 11.07.35 PM.wav,1.5535,0.5427,-104,0.09375,False,-87,0.16015625,0.52,False,57,81acf0299014f6e0d47020efc697339f1c545c60
WhatsApp Audio 2026-09-06 at 11.07.36 PM (1).wav,D:\SIH\ira-wakeword\today ira wav\today ira wav\WhatsApp Audio 2026-09-06 at 11.07.36 PM (1).wav,1.0935,0.0935,-81,0.18359375,False,-22,0.4140625,0.09,True,11,f44011a747811f857355d7adb552ea588e7c495c
WhatsApp Audio 2026-09-06 at 11.07.36 PM (2).wav,D:\SIH\ira-wakeword\today ira wav\today ira wav\WhatsApp Audio 2026-09-06 at 11.07.36 PM (2).wav,3.3135,0.1124,-104,0.09375,False,57,0.72265625,0.92,True,233,5a351144341f2d4a967ea248af13432385107a4e
WhatsApp Audio 2026-09-06 at 11.07.36 PM.wav,D:\SIH\ira-wakeword\today ira wav\today ira wav\WhatsApp Audio 2026-09-06 at 11.07.36 PM.wav,1.0935,0.0931,-114,0.0546875,False,-98,0.1171875,0.09,False,11,1d17f14fbf7e31debf09fc188fd79ce8f1bc5f65
WhatsApp Audio 2026-09-06 at 11.07.37 PM (1).wav,D:\SIH\ira-wakeword\today ira wav\today ira wav\WhatsApp Audio 2026-09-06 at 11.07.37 PM (1).wav,1.4935,0.2753,-95,0.12890625,False,-22,0.4140625,0.49,True,51,50e6ad9f96c1c36be76c78f14b1ca3a7a91ea304
WhatsApp Audio 2026-09-06 at 11.07.37 PM (2).wav,D:\SIH\ira-wakeword\today ira wav\today ira wav\WhatsApp Audio 2026-09-06 at 11.07.37 PM (2).wav,1.5535,0.1943,-104,0.09375,False,-11,0.45703125,0.09,True,57,59b9ff3cb932e0f3f303be551b6e31e73e0e74b1
WhatsApp Audio 2026-09-06 at 11.07.37 PM.wav,D:\SIH\ira-wakeword\today ira wav\today ira wav\WhatsApp Audio 2026-09-06 at 11.07.37 PM.wav,1.2735,0.1677,-43,0.33203125,False,22,0.5859375,0.06,True,29,4f78a8fa02f2d6bade9c2016230afb7c1218fd25
WhatsApp Audio 2026-09-06 at 11.07.38 PM (1).wav,D:\SIH\ira-wakeword\today ira wav\today ira wav\WhatsApp Audio 2026-09-06 at 11.07.38 PM (1).wav,1.3335,0.255,-74,0.2109375,False,61,0.73828125,0.05,True,35,77bce9813da0307adf7d4860de1d08dc2b338704
WhatsApp Audio 2026-09-06 at 11.07.38 PM (2).wav,D:\SIH\ira-wakeword\today ira wav\today ira wav\WhatsApp Audio 2026-09-06 at 11.07.38 PM (2).wav,1.4935,0.4528,-104,0.09375,False,-48,0.3125,0.31,False,51,38ad16d6f85cf8889e79c0f8a4804f0dc20547b9
WhatsApp Audio 2026-09-06 at 11.07.38 PM.wav,D:\SIH\ira-wakeword\today ira wav\today ira wav\WhatsApp Audio 2026-09-06 at 11.07.38 PM.wav,1.4335,0.1477,-66,0.2421875,False,-33,0.37109375,0.0,False,45,8c193aed204b1e9d2510924839552bec4cdcbcff
