filename,duration_s,n_windows_100ms,fired_100ms,max_q_out_100ms,max_score_100ms,t_max_score_100ms,t_first_fire_100ms,n_firing_windows_100ms,n_windows_10ms,fired_10ms,max_q_out_10ms,max_score_10ms,t_max_score_10ms,t_first_fire_10ms,n_firing_windows_10ms,audio_sha1
ira_0001.wav,0.9735,1,True,100,0.890625,0.0,0.0,1,1,True,100,0.890625,0.0,0.0,1,07ee032010494f5cfadd43fc67e2e7f584126d63
ira_0002.wav,0.9535,1,True,124,0.984375,0.0,0.0,1,1,True,124,0.984375,0.0,0.0,1,2a71b6abdccd29747714ea8a7bd16e2f8ba6e580
ira_0003.wav,1.3335,5,True,115,0.94921875,0.3335,0.0,5,35,True,115,0.94921875,0.3335,0.0,32,c44075c4ce1c4ce2cb1ab9d0c907affe44dc0645
ira_0004.wav,1.2535,4,True,123,0.98046875,0.0,0.0,4,27,True,125,0.98828125,0.02,0.0,27,5bb242c2372965ee6c76e56f85a11de48ff12c7f
ira_0005.wav,1.3935,5,True,124,0.984375,0.0,0.0,5,41,True,126,0.9921875,0.06,0.0,41,5877f78ba38d26d14c3034a607659053b1876714
ira_0006.wav,1.0135,2,True,125,0.98828125,0.0135,0.0,2,3,True,126,0.9921875,0.01,0.0,3,34b1002884382f3fa09af59b8f473d3b0164fe53
ira_0007.wav,0.8935,1,True,112,0.9375,0.0,0.0,1,1,True,112,0.9375,0.0,0.0,1,df338bcbc668f2fa81994fc3a6e2af86f8005b6e
ira_0008.wav,1.3935,5,True,116,0.953125,0.1,0.0,4,41,True,123,0.98046875,0.08,0.0,40,7ecefb19284b8fa29934e3b67b5776c6ce4364f7
ira_0009.wav,1.5535,7,True,123,0.98046875,0.5,0.0,7,57,True,123,0.98046875,0.5,0.0,57,9dcda06b845e0c635824f8163955715184951ffb
ira_0010.wav,1.4335,6,True,123,0.98046875,0.1,0.0,6,45,True,126,0.9921875,0.06,0.0,45,69a39c4acdbaf56b7c2cf148ac309d74a2603fc7
ira_0011.wav,0.9535,1,True,126,0.9921875,0.0,0.0,1,1,True,126,0.9921875,0.0,0.0,1,aadbf6b11cefa929e9ef41930b5a481492175b28
ira_0012.wav,1.2335,4,True,121,0.97265625,0.0,0.0,3,25,True,121,0.97265625,0.0,0.0,18,b188cbdcf4fd74c2f6738c539fa8258d1833eb29
ira_0013.wav,1.3335,5,True,102,0.8984375,0.1,0.0,5,35,True,109,0.92578125,0.02,0.0,32,dd1b65fa4edebb7389beb4f59089f8df9ffa4246
ira_0014.wav,1.2735,4,True,119,0.96484375,0.1,0.0,4,29,True,124,0.984375,0.06,0.0,29,6eac0fb5c8172800f0e8ec15f1855f2279f091e7
ira_0015.wav,0.9935,1,True,115,0.94921875,0.0,0.0,1,1,True,115,0.94921875,0.0,0.0,1,34e382144aa3b05590471b1a4bcf30961ef923e8
ira_0016.wav,1.6535,8,False,-74,0.2109375,0.0,,0,67,False,-48,0.3125,0.02,,0,6853eb71b924937f630e1185279e4fd0e60126d6
ira_0017.wav,1.4735,6,True,-6,0.4765625,0.1,0.1,1,49,True,43,0.66796875,0.04,0.02,6,3fe4172882c88e7a6e07997fa70dd179c255e89a
ira_0018.wav,1.2535,4,False,-98,0.1171875,0.0,,0,27,False,-66,0.2421875,0.01,,0,c78a2cee0b460302e55a1064e2e89b89046ad103
ira_0019.wav,1.4535,6,True,11,0.54296875,0.0,0.0,1,47,True,90,0.8515625,0.25,0.0,19,b96b15e721e89ac29850d106f0f38241e82d3e49
ira_0020.wav,1.4535,6,True,100,0.890625,0.0,0.0,2,47,True,104,0.90625,0.01,0.0,28,bebfe2dfe6cde8cf4e6da03cfbc804139021ae8f
ira_0021.wav,1.6535,8,True,127,0.99609375,0.5,0.0,6,67,True,127,0.99609375,0.48,0.0,46,5a56427e661ba5dde592b39a1130cf69b7ebed70
ira_0022.wav,1.3335,5,True,66,0.7578125,0.3,0.0,3,35,True,102,0.8984375,0.23,0.0,28,ac2076af9e77a571d584f65fb5a66c2335773ca1
ira_0023.wav,1.3935,5,True,111,0.93359375,0.0,0.0,3,41,True,115,0.94921875,0.01,0.0,19,38962941683fd8e5cd1621cdaa4f8147ebafb0de
ira_0024.wav,1.2335,4,True,102,0.8984375,0.0,0.0,3,25,True,104,0.90625,0.02,0.0,16,137a1e30f14e63229a033e9a481db1b0c0eab10d
ira_0025.wav,0.8535,1,True,119,0.96484375,0.0,0.0,1,1,True,119,0.96484375,0.0,0.0,1,b43fde75c316a7ecfcc826faf34addb616d29ac9
ira_0026.wav,1.1335,3,True,87,0.83984375,0.1,0.0,3,15,True,113,0.94140625,0.09,0.0,14,901b93af9b5c7e600b13bee38427bf8e758da3ee
ira_0027.wav,1.2335,4,True,126,0.9921875,0.0,0.0,4,25,True,127,0.99609375,0.01,0.0,25,c64c9cd3636edadca96cae98fb71535272db7d8e
ira_0028.wav,1.4535,6,True,120,0.96875,0.4535,0.0,5,47,True,124,0.984375,0.27,0.0,39,3188e34a7f0e718faa2aef13740edc1777c6fd77
ira_0029.wav,1.7335,9,True,127,0.99609375,0.0,0.0,5,75,True,127,0.99609375,0.0,0.0,48,b96fe79c8482219912aadda4c97131c7d3c66f20
ira_0030.wav,1.1135,3,True,116,0.953125,0.0,0.0,3,13,True,118,0.9609375,0.04,0.0,13,a4ea1db1b8e3f093b5019cfae2bda1f282abf8b2
ira_0031.wav,0.9935,1,True,124,0.984375,0.0,0.0,1,1,True,124,0.984375,0.0,0.0,1,7f818433765e32ea6826f37bcdd4fe01d30711f2
ira_0032.wav,1.4335,6,True,126,0.9921875,0.0,0.0,6,45,True,126,0.9921875,0.0,0.0,45,93259219642f3af0fb63a4151c2f41eb33b36f22
ira_0033.wav,1.6335,8,True,111,0.93359375,0.0,0.0,3,65,True,120,0.96875,0.01,0.0,29,987254bec6860ffebe41e6c847747db2595e80f8
ira_0034.wav,1.0935,2,True,127,0.99609375,0.0,0.0,2,11,True,127,0.99609375,0.0,0.0,11,d601a7add93387d80cf3d8599ef0f8fc6bdd2336
ira_0035.wav,1.2535,4,True,124,0.984375,0.1,0.0,4,27,True,127,0.99609375,0.17,0.0,27,a867157babce67b58b5d540a1296305562734ee7
ira_0036.wav,1.1135,3,True,113,0.94140625,0.0,0.0,3,13,True,116,0.953125,0.04,0.0,13,92521a9385a0d8825b0c44ccf4b24a216461b7db
ira_0037.wav,1.3535,5,True,124,0.984375,0.0,0.0,3,37,True,126,0.9921875,0.01,0.0,26,81acd34c3376a34e6a396aeb00d08926b02b2c33
ira_0038.wav,1.2935,4,True,125,0.98828125,0.0,0.0,3,31,True,126,0.9921875,0.04,0.0,23,5cf9e161ebd650558f0a910442321373c58dc4bc
ira_0039.wav,1.0135,2,True,127,0.99609375,0.0,0.0,2,3,True,127,0.99609375,0.0,0.0,3,6c2353f0c76a4f39762f2027830070b2f5a9323d
ira_0040.wav,1.3735,5,True,109,0.92578125,0.0,0.0,2,39,True,109,0.92578125,0.0,0.0,16,0ef041471805ae12a801d8f33d7e06320202079a
ira_0041.wav,0.6735,1,True,119,0.96484375,0.0,0.0,1,1,True,119,0.96484375,0.0,0.0,1,a4cbe8fc334f319eca114f4c5864ea42e46823ee
ira_0042.wav,1.0135,2,True,125,0.98828125,0.0,0.0,2,3,True,125,0.98828125,0.0,0.0,3,c297b79c1eb212edf7b9f278c8b7f143a278b3d5
ira_0043.wav,1.3535,5,True,125,0.98828125,0.0,0.0,3,37,True,126,0.9921875,0.12,0.0,23,5fa6331952f89b6627a6e7c5c5b6f0a10275400d
ira_0044.wav,0.9135,1,True,114,0.9453125,0.0,0.0,1,1,True,114,0.9453125,0.0,0.0,1,0aef03c97b9e751c41b3f26121df9f354d75ca33
ira_0045.wav,0.9935,1,True,126,0.9921875,0.0,0.0,1,1,True,126,0.9921875,0.0,0.0,1,b6269a3617da9e9165b0c1b22bce6b46acf255a5
ira_0046.wav,2.0735,12,True,125,0.98828125,0.0,0.0,4,109,True,126,0.9921875,0.02,0.0,31,d2f18c59a73c480e938d3eca7f4da211b6f7262a
ira_0047.wav,1.0135,2,True,108,0.921875,0.0,0.0,2,3,True,108,0.921875,0.0,0.0,3,60d7e0a00d369e696ba3dd9aa8158b0812d1c432
ira_0048.wav,1.4535,6,True,127,0.99609375,0.0,0.0,4,47,True,127,0.99609375,0.0,0.0,35,f658477fa879c53568877a025236b832db5147e2
ira_0049.wav,1.5935,7,True,123,0.98046875,0.0,0.0,5,61,True,123,0.98046875,0.0,0.0,42,ad8e8b40b9965bfbc6f42b2dc463ff145bff68f2
ira_0050.wav,0.9735,1,True,127,0.99609375,0.0,0.0,1,1,True,127,0.99609375,0.0,0.0,1,85acfe883b6e23e44f9e27f221bf987065f99a5d
ira_0051.wav,1.1735,3,True,127,0.99609375,0.0,0.0,3,19,True,127,0.99609375,0.0,0.0,19,c5e3eebfb30aae72cd681a322a678abbf0b76f99
ira_0052.wav,1.5735,7,True,106,0.9140625,0.0,0.0,2,59,True,117,0.95703125,0.02,0.0,18,6e997a3521a6e2993e8245e30719be6d12afe52d
ira_0053.wav,1.5535,7,True,120,0.96875,0.0,0.0,7,57,True,126,0.9921875,0.45,0.0,57,c78eab8f88c47ac214196886ea2ecacc2e9eb442
ira_0054.wav,2.0335,12,True,53,0.70703125,0.0,0.0,2,105,True,108,0.921875,0.03,0.0,11,22529bf3935f76c86477063fd4d4f6f35a9ef3c8
ira_0055.wav,1.1935,3,True,121,0.97265625,0.0,0.0,3,21,True,121,0.97265625,0.0,0.0,19,772a35fd4f9124c049542db6bceaf1356243790b
ira_0056.wav,1.1535,3,True,127,0.99609375,0.0,0.0,3,17,True,127,0.99609375,0.0,0.0,17,0179463c9bbb9d20cec51c54409e6b68c9a2fd09
ira_0057.wav,1.1935,3,True,70,0.7734375,0.0,0.0,2,21,True,100,0.890625,0.05,0.0,11,14bf87a7fceea939dbf4cde50d04429285645ecd
ira_0058.wav,1.3135,5,True,57,0.72265625,0.0,0.0,1,33,True,57,0.72265625,0.0,0.0,8,722778bdb769203e54aefc70a4557e9d2fdb619e
ira_0059.wav,1.5335,7,True,111,0.93359375,0.0,0.0,2,55,True,114,0.9453125,0.02,0.0,14,2999ae8b6f0018b47637506613e5240a2e7e0a60
ira_0060.wav,2.0535,12,True,126,0.9921875,0.0,0.0,4,107,True,127,0.99609375,0.02,0.0,38,d1f5e98586c313042f0d4f23595169d2dd441f8e
ira_0061.wav,1.1735,3,True,127,0.99609375,0.1735,0.0,3,19,True,127,0.99609375,0.1735,0.0,19,61d68c1cb6413d4a68be5b8bb937f9f11eb44cf5
ira_0062.wav,1.3935,5,True,77,0.80078125,0.0,0.0,2,41,True,109,0.92578125,0.03,0.0,12,1eff5f6eafe04b0150467d43d5dcf7103086478c
ira_0063.wav,1.9735,11,True,118,0.9609375,0.9735,0.0,3,99,True,123,0.98046875,0.97,0.0,27,aa2917cb7bb39bfbf63b4b014300244fccdf6d42
ira_0064.wav,1.5335,7,True,74,0.7890625,0.5335,0.3,4,55,True,93,0.86328125,0.46,0.01,33,735623bef64c78e1e56cb910190f4494f2a5972c
ira_0065.wav,1.3535,5,True,124,0.984375,0.1,0.0,5,37,True,126,0.9921875,0.07,0.0,37,c8c58e76b55a3bbe8cd808d75a3cfd61c288fa0d
ira_0066.wav,1.3935,5,True,100,0.890625,0.1,0.0,5,41,True,114,0.9453125,0.09,0.0,41,d7ab067115a71749542f3e5a90267c9c4c798f20
ira_0067.wav,1.1935,3,True,123,0.98046875,0.0,0.0,3,21,True,126,0.9921875,0.01,0.0,21,16d83079e8f81f408683b33143b6b7a976d5d51d
ira_0068.wav,1.7935,9,True,119,0.96484375,0.0,0.0,2,81,True,123,0.98046875,0.02,0.0,12,3af4a9ff834dceb04513eb17c7b33d58adaa7755
ira_0069.wav,1.3535,5,True,74,0.7890625,0.0,0.0,1,37,True,102,0.8984375,0.01,0.0,13,c49b76eb23611d61e3bcc98389b4670e0e8e4540
ira_0070.wav,1.5535,7,True,84,0.828125,0.0,0.0,2,57,True,93,0.86328125,0.01,0.0,8,dcd1cca7cdfa54fdd734bb263b74f783f1adf78a
ira_0071.wav,1.3735,5,True,124,0.984375,0.0,0.0,4,39,True,126,0.9921875,0.02,0.0,37,8fa8de9693bdd61a8a886dc59b992ae3110f99d3
ira_0072.wav,1.3335,5,True,123,0.98046875,0.1,0.0,5,35,True,126,0.9921875,0.04,0.0,35,5f480b69cd975375eeaea22157b5f527b1aa17f2
ira_0073.wav,1.1535,3,True,125,0.98828125,0.0,0.0,3,17,True,127,0.99609375,0.03,0.0,17,8ef22bd56723efbf9e5b1b2b5159244e139d802a
ira_0074.wav,1.6335,8,True,125,0.98828125,0.0,0.0,4,65,True,127,0.99609375,0.02,0.0,34,31092b1defdbf6822bb1c98b204650e79b1765b7
ira_0075.wav,0.9735,1,True,120,0.96875,0.0,0.0,1,1,True,120,0.96875,0.0,0.0,1,141b4236e104c2225646b91f50409c856108d81a
ira_0076.wav,1.1335,3,True,120,0.96875,0.1,0.0,3,15,True,124,0.984375,0.04,0.0,15,0de9bb157de691268253c5ccb6d49b6f4245b8f8
ira_0077.wav,1.1735,3,True,109,0.92578125,0.0,0.0,2,19,True,116,0.953125,0.01,0.0,13,b4b622c1193df4295ed894d3be6558d1abc86cc3
ira_0078.wav,1.3735,5,True,-17,0.43359375,0.0,0.0,1,39,True,48,0.6875,0.04,0.0,8,6703edef95928b6485f3aca635f956e1cb97f18f
ira_0079.wav,1.4135,6,True,61,0.73828125,0.0,0.0,2,43,True,108,0.921875,0.07,0.0,28,ec65a4f327f8808e871ded076ceb7769c1feae38
ira_0080.wav,1.2535,4,True,126,0.9921875,0.0,0.0,4,27,True,126,0.9921875,0.0,0.0,27,6982f39a0bd01bbc6b5b92db30c49a52ef53755d
ira_0081.wav,1.0535,2,True,127,0.99609375,0.0535,0.0,2,7,True,127,0.99609375,0.01,0.0,7,df40ed96da5e97da083b47c43b7b80e0c9bae5b1
