idx,score,spk,utt,start,end,words,ira_like
591,0.9834396243095398,8297,8297-275156-0000,2.0,3.0,DOING HERE HE ASKED,
1471,0.9744271039962769,1988,1988-147956-0024,2.0,3.0,WRUNG HER HANDS,
615,0.9345709681510925,8297,8297-275154-0001,5.0,6.0,BACK TO HER PORT,
1410,0.9338834285736084,1988,1988-147956-0008,1.0,2.0,MISSUS SHIMERDA UNDERSTAND,
556,0.9208042025566101,116,116-288045-0011,6.0,7.0,THE GOOD YES OUR,
1423,0.9080240726470947,1988,1988-147956-0019,2.0,3.0,THE RAVINE LOOKING,
1404,0.9018825888633728,1988,1988-147956-0027,6.0,7.0,SHE WORE ON HER MIDDLE,
260,0.8797996640205383,2136,2136-5147-0034,5.168,6.168,IRREVERENT WELL DEAR HOW,IH R EH
1419,0.870717465877533,1988,1988-147956-0008,0.0,1.0,SHE MADE MISSUS,
1193,0.8687583208084106,4446,4446-2275-0029,2.0,3.0,BARTLEY AT LEAST TELL ME,
1534,0.8457428216934204,652,652-130726-0008,3.0,4.0,COST WHEN YOU ORDER,
1687,0.8400819301605225,1284,1284-134647-0002,14.0,15.0,TRIUMPH OF CHRISTIANITY,
1493,0.8318341374397278,652,652-130726-0034,2.0,3.0,ABALONE IS TOUGH AND,
1418,0.813325047492981,1988,1988-147956-0008,4.0,5.0,OF OUR VISIT AND,
1559,0.8092670440673828,652,652-130726-0027,2.0,3.0,FOR HALF AN HOUR BASTING,
339,0.8027892112731934,1580,1580-141084-0021,3.0,4.0,BLACK DOUGHY CLAY,
722,0.787392795085907,8188,8188-269288-0030,9.0,10.0,NOT SEE MORE THAN A,
565,0.7689511775970459,116,116-288045-0030,0.0,1.0,I ASKED MY EYES,
1473,0.7559202909469604,1988,1988-147956-0024,1.0,2.0,HER KNEES AND WRUNG,
1461,0.7429258227348328,1988,1988-147956-0001,4.0,5.0,WITH HIS TEETH A PLANT,
1549,0.7370892763137817,652,652-130726-0021,5.0,6.0,SCHLOSS OF COURSE FOR HERE,
1242,0.6707138419151306,4446,4446-2271-0011,2.0,3.0,ALEXANDER THE AMERICAN,
223,0.6662449836730957,2136,2136-5147-0024,2.203,3.203,CLEAR YOU OUGHT TO,
1523,0.6582635045051575,652,652-130726-0005,2.0,3.0,AND ELABORATE DECORATION,
133,0.6286894679069519,1970,1970-28415-0036,8.222,9.222,THINK WHAT TO DO THERE,
1757,0.6232109069824219,1284,1284-1181-0000,1.0,2.0,EXAMINED THIS CURIOUS,
1387,0.6191926002502441,1988,1988-147956-0011,1.0,2.0,BROWN TOO AND IN,
1571,0.618212878704071,652,652-130737-0000,4.0,5.0,COCKTAILS WITH OYSTERS,
323,0.5984851121902466,1580,1580-141084-0019,1.0,2.0,WATSON I HAVE SOLVED,
190,0.5960754156112671,2136,2136-5147-0014,7.796,8.796,ENERGY BESIDES I CANNOT,
1495,0.5931126475334167,652,652-130726-0034,3.0,4.0,AND UNPALATABLE BUT,
1532,0.5882537961006165,652,652-130726-0008,5.0,6.0,BEST DINNER AT THESE RESTAURANTS,
466,0.5879335999488831,908,908-157963-0009,2.0,3.0,THE VALES OF HAR,
1234,0.5780576467514038,4446,4446-2271-0002,1.0,2.0,TREMENDOUSLY WELL PUT ON,
1775,0.5760406255722046,1284,1284-134647-0003,5.0,6.0,HIS OPINIONS OR TO,
520,0.5759480595588684,116,116-288047-0010,6.0,7.0,AND AIRY BEINGS,
748,0.5625933408737183,8188,8188-269288-0016,1.0,2.0,WITH PLEASURE AT THE,
1679,0.5615881681442261,8463,8463-294825-0013,13.0,14.0,LAKE OCEANOGRAPHER,
152,0.552626371383667,2136,2136-5147-0003,5.11,6.11,SEE HER MY DEAR,
69,0.5209634304046631,1970,1970-28415-0018,8.91,9.91,WITH JESUS THEN,
1090,0.5189579725265503,6829,6829-68769-0017,1.0,2.0,WORSE N EVER REPLIED,
1149,0.5170409679412842,6829,6829-68771-0010,7.0,8.0,GREAT HOUSE WERE TAXED,
1415,0.5054996013641357,1988,1988-147956-0008,8.0,9.0,BREAD AND EVEN SMELLED,
1469,0.4996284544467926,1988,1988-147956-0001,10.0,11.0,NODDING IN TIME,
1520,0.4946081042289734,652,652-130726-0005,5.0,6.0,GIVES IT THE APPEARANCE,IH R AH
531,0.49401697516441345,116,116-288045-0032,0.0,1.0,AND IF FAITH THAT,
790,0.49236997961997986,2277,2277-149897-0034,4.0,5.0,UNTIL TO MORROW THURSDAY,
392,0.48841479420661926,908,908-31957-0004,12.0,13.0,WALLS AND FLOORS ANOTHER,
1079,0.48050135374069214,2902,2902-9006-0011,2.0,3.0,ERA OF THIS STORY,
183,0.46672895550727844,2136,2136-5147-0013,7.375,8.375,KNOLLYS WISHES VERY MUCH,
327,0.4633956849575043,1580,1580-141084-0007,0.0,1.0,TO MORROW IS THE,
1280,0.463372141122818,4446,4446-2273-0002,1.0,2.0,CARE A GREAT DEAL ABOUT,
1498,0.45968958735466003,652,652-130726-0034,6.0,7.0,OF HERBERT THEY ARE,
1584,0.45321646332740784,652,652-130726-0024,7.0,8.0,MIXED WHOLE ALLSPICE,
294,0.4531395137310028,1580,1580-141084-0048,6.0,7.0,LEFT IN THE ROOM AND MUST,
1519,0.4443396329879761,652,652-130726-0005,3.0,4.0,DECORATION OF CEILING,
497,0.43890365958213806,116,116-288048-0020,1.0,2.0,THIS UNANIMOUS SILENCE,
1510,0.43738269805908203,652,652-129742-0012,8.0,9.0,ENGLISH WALNUTS,
