event_id,source_file,condition,max_score,detection_timestamp,latency_ms
1,E:\SIH\ira-wakeword\dataset\positive_all\piper_batch_A\1090.wav,clean,0.7578125,4.5,0
2,E:\SIH\ira-wakeword\real\positive\standardized\quiet_1m\ira_0119.wav,clean,0.984375,9.0,0
3,E:\SIH\ira-wakeword\dataset\positive_all\piper_batch_D\16.wav,clean,0.046875,13.5,0
4,E:\SIH\ira-wakeword\dataset\positive_all\synthetic\synthetic_pilot100_28.wav,clean,0.0078125,18.0,0
5,E:\SIH\ira-wakeword\dataset\positive_all\piper_batch_A\1835.wav,clean,0.8046875,22.5,0
6,E:\SIH\ira-wakeword\dataset\positive_all\synthetic\synthetic_lessac_slow_0.wav,clean,0.01171875,27.0,0
7,E:\SIH\ira-wakeword\dataset\positive_all\piper_batch_C\1353.wav,clean,0.10546875,31.5,0
8,E:\SIH\ira-wakeword\dataset\positive_all\piper_batch_C\978.wav,clean,0.36328125,36.0,0
9,E:\SIH\ira-wakeword\dataset\positive_all\piper_batch_B\716.wav,clean,0.015625,40.5,0
10,E:\SIH\ira-wakeword\dataset\positive_all\piper_batch_C\410.wav,clean,0.95703125,45.0,0
11,E:\SIH\ira-wakeword\dataset\positive_all\piper_batch_D\1365.wav,clean,0.5703125,49.5,0
12,E:\SIH\ira-wakeword\dataset\positive_all\piper_batch_C\896.wav,clean,0.015625,54.0,0
13,E:\SIH\ira-wakeword\dataset\positive_all\piper_batch_C\1392.wav,clean,0.9765625,58.5,0
14,E:\SIH\ira-wakeword\dataset\positive_all\piper_batch_C\659.wav,clean,0.0390625,63.0,0
15,E:\SIH\ira-wakeword\dataset\positive_all\piper_batch_C\569.wav,clean,0.03125,67.5,0
16,E:\SIH\ira-wakeword\dataset\positive_all\piper_batch_D\1009.wav,clean,0.98046875,72.0,0
17,E:\SIH\ira-wakeword\dataset\positive_all\piper_batch_A\85.wav,clean,0.07421875,76.5,0
18,E:\SIH\ira-wakeword\dataset\positive_all\piper_batch_C\32.wav,clean,0.10546875,81.0,0
19,E:\SIH\ira-wakeword\dataset\positive_all\piper_batch_D\599.wav,clean,0.97265625,85.5,0
20,E:\SIH\ira-wakeword\real\positive\standardized\quiet_20cm\ira_078.wav,clean,0.9375,90.0,0
21,E:\SIH\ira-wakeword\dataset\positive_all\piper_batch_C\738.wav,clean,0.08203125,94.5,0
