event_id,source_positive,source_type,background_type,background_file,snr_db,score,raw_logspec_mean,raw_logspec_std,normalized_mean,normalized_std,positive_rms,background_rms,mixture_rms,peak_amplitude,common_gain
1,E:\SIH\ira-wakeword\real\positive\standardized\quiet_20cm\ira_002.wav,REAL,none,none,clean,0.9375,-2.11627,2.0260367,1.5570193e-07,0.9999995,0.04962584,0,0.04962584,0.99990845,1.0
1,E:\SIH\ira-wakeword\real\positive\standardized\quiet_20cm\ira_002.wav,REAL,ambient,random_segment,30,0.97265625,-1.9270465,1.76665,0.0,0.9999994,0.04962584,0.049402762,0.049088635,1.0013186,0.98869634
1,E:\SIH\ira-wakeword\real\positive\standardized\quiet_20cm\ira_002.wav,REAL,ambient,random_segment,20,0.98828125,-1.621914,1.4620904,1.2456154e-07,0.9999994,0.04962584,0.049402762,0.04896764,1.008261,0.98188865
1,E:\SIH\ira-wakeword\real\positive\standardized\quiet_20cm\ira_002.wav,REAL,ambient,random_segment,15,0.98828125,-1.402568,1.2858233,0.0,0.9999992,0.04962584,0.049402762,0.04910239,1.0161629,0.9742533
1,E:\SIH\ira-wakeword\real\positive\standardized\quiet_20cm\ira_002.wav,REAL,ambient,random_segment,10,0.98046875,-1.1376112,1.1035726,1.7127212e-07,0.9999992,0.04962584,0.049402762,0.050009094,1.0302147,0.9609648
1,E:\SIH\ira-wakeword\real\positive\standardized\quiet_20cm\ira_002.wav,REAL,ambient,random_segment,5,0.92578125,-0.8341919,0.93535113,3.1140384e-08,0.99999887,0.04962584,0.049402762,0.053404696,1.0552027,0.93820834
1,E:\SIH\ira-wakeword\real\positive\standardized\quiet_20cm\ira_002.wav,REAL,ambient,random_segment,0,0.13671875,-0.49491364,0.8100764,1.5570192e-08,0.99999875,0.04962584,0.049402762,0.06316827,1.0996386,0.9002958
1,E:\SIH\ira-wakeword\real\positive\standardized\quiet_20cm\ira_002.wav,REAL,ambient,random_segment,-5,0.0,-0.13251527,0.71314204,0.0,0.99999857,0.04962584,0.049402762,0.08502128,1.1786578,0.83993846
1,E:\SIH\ira-wakeword\real\positive\standardized\quiet_20cm\ira_002.wav,REAL,speech,random_segment,30,0.96875,-1.9307508,1.8847195,-3.1140384e-08,0.99999946,0.04962584,0.033169843,0.049660385,0.9999736,1.0
1,E:\SIH\ira-wakeword\real\positive\standardized\quiet_20cm\ira_002.wav,REAL,speech,random_segment,20,0.98046875,-1.689576,1.717184,3.1140384e-08,0.99999946,0.04962584,0.033169843,0.04925807,1.0029823,0.9870564
1,E:\SIH\ira-wakeword\real\positive\standardized\quiet_20cm\ira_002.wav,REAL,speech,random_segment,15,0.9765625,-1.5156615,1.6337382,0.0,0.99999946,0.04962584,0.033169843,0.049589448,1.0073459,0.9827806
1,E:\SIH\ira-wakeword\real\positive\standardized\quiet_20cm\ira_002.wav,REAL,speech,random_segment,10,0.953125,-1.3081437,1.5505964,3.1140384e-08,0.99999934,0.04962584,0.033169843,0.050851308,1.0151056,0.975268
1,E:\SIH\ira-wakeword\real\positive\standardized\quiet_20cm\ira_002.wav,REAL,speech,random_segment,5,0.89453125,-1.0761477,1.495968,-7.785096e-08,0.99999934,0.04962584,0.033169843,0.05492659,1.0289047,0.96218824
