event_id,source_positive,source_type,background_type,snr_db,score,pred_0_30,pred_0_50,pred_0_70,pred_0_90
1,E:\SIH\ira-wakeword\real\positive\standardized\quiet_20cm\ira_002.wav,REAL,none,clean,0.9375,1,1,1,1
1,E:\SIH\ira-wakeword\real\positive\standardized\quiet_20cm\ira_002.wav,REAL,ambient,30,0.97265625,1,1,1,1
1,E:\SIH\ira-wakeword\real\positive\standardized\quiet_20cm\ira_002.wav,REAL,ambient,20,0.98828125,1,1,1,1
1,E:\SIH\ira-wakeword\real\positive\standardized\quiet_20cm\ira_002.wav,REAL,ambient,15,0.98828125,1,1,1,1
1,E:\SIH\ira-wakeword\real\positive\standardized\quiet_20cm\ira_002.wav,REAL,ambient,10,0.98046875,1,1,1,1
1,E:\SIH\ira-wakeword\real\positive\standardized\quiet_20cm\ira_002.wav,REAL,ambient,5,0.92578125,1,1,1,1
1,E:\SIH\ira-wakeword\real\positive\standardized\quiet_20cm\ira_002.wav,REAL,ambient,0,0.13671875,0,0,0,0
1,E:\SIH\ira-wakeword\real\positive\standardized\quiet_20cm\ira_002.wav,REAL,ambient,-5,0.0,0,0,0,0
1,E:\SIH\ira-wakeword\real\positive\standardized\quiet_20cm\ira_002.wav,REAL,speech,30,0.96875,1,1,1,1
1,E:\SIH\ira-wakeword\real\positive\standardized\quiet_20cm\ira_002.wav,REAL,speech,20,0.98046875,1,1,1,1
1,E:\SIH\ira-wakeword\real\positive\standardized\quiet_20cm\ira_002.wav,REAL,speech,15,0.9765625,1,1,1,1
1,E:\SIH\ira-wakeword\real\positive\standardized\quiet_20cm\ira_002.wav,REAL,speech,10,0.953125,1,1,1,1
1,E:\SIH\ira-wakeword\real\positive\standardized\quiet_20cm\ira_002.wav,REAL,speech,5,0.89453125,1,1,1,0
1,E:\SIH\ira-wakeword\real\positive\standardized\quiet_20cm\ira_002.wav,REAL,speech,0,0.15625,0,0,0,0
1,E:\SIH\ira-wakeword\real\positive\standardized\quiet_20cm\ira_002.wav,REAL,speech,-5,0.00390625,0,0,0,0
1,E:\SIH\ira-wakeword\real\positive\standardized\quiet_20cm\ira_002.wav,REAL,streaming_repro,repro,0.89453125,1,1,1,0
2,E:\SIH\ira-wakeword\real\positive\standardized\quiet_20cm\ira_0112.wav,REAL,none,clean,0.9921875,1,1,1,1
2,E:\SIH\ira-wakeword\real\positive\standardized\quiet_20cm\ira_0112.wav,REAL,ambient,30,0.9921875,1,1,1,1
2,E:\SIH\ira-wakeword\real\positive\standardized\quiet_20cm\ira_0112.wav,REAL,ambient,20,0.9921875,1,1,1,1
2,E:\SIH\ira-wakeword\real\positive\standardized\quiet_20cm\ira_0112.wav,REAL,ambient,15,0.9921875,1,1,1,1
2,E:\SIH\ira-wakeword\real\positive\standardized\quiet_20cm\ira_0112.wav,REAL,ambient,10,0.9921875,1,1,1,1
2,E:\SIH\ira-wakeword\real\positive\standardized\quiet_20cm\ira_0112.wav,REAL,ambient,5,0.9921875,1,1,1,1
2,E:\SIH\ira-wakeword\real\positive\standardized\quiet_20cm\ira_0112.wav,REAL,ambient,0,0.9921875,1,1,1,1
2,E:\SIH\ira-wakeword\real\positive\standardized\quiet_20cm\ira_0112.wav,REAL,ambient,-5,0.9921875,1,1,1,1
2,E:\SIH\ira-wakeword\real\positive\standardized\quiet_20cm\ira_0112.wav,REAL,speech,30,0.9921875,1,1,1,1
2,E:\SIH\ira-wakeword\real\positive\standardized\quiet_20cm\ira_0112.wav,REAL,speech,20,0.9921875,1,1,1,1
2,E:\SIH\ira-wakeword\real\positive\standardized\quiet_20cm\ira_0112.wav,REAL,speech,15,0.9921875,1,1,1,1
2,E:\SIH\ira-wakeword\real\positive\standardized\quiet_20cm\ira_0112.wav,REAL,speech,10,0.9921875,1,1,1,1
2,E:\SIH\ira-wakeword\real\positive\standardized\quiet_20cm\ira_0112.wav,REAL,speech,5,0.9921875,1,1,1,1
2,E:\SIH\ira-wakeword\real\positive\standardized\quiet_20cm\ira_0112.wav,REAL,speech,0,0.98828125,1,1,1,1
2,E:\SIH\ira-wakeword\real\positive\standardized\quiet_20cm\ira_0112.wav,REAL,speech,-5,0.96875,1,1,1,1
2,E:\SIH\ira-wakeword\real\positive\standardized\quiet_20cm\ira_0112.wav,REAL,streaming_repro,repro,0.0,0,0,0,0
3,E:\SIH\ira-wakeword\real\positive\standardized\quiet_20cm\ira_0113.wav,REAL,none,clean,0.9921875,1,1,1,1
3,E:\SIH\ira-wakeword\real\positive\standardized\quiet_20cm\ira_0113.wav,REAL,ambient,30,0.9921875,1,1,1,1
3,E:\SIH\ira-wakeword\real\positive\standardized\quiet_20cm\ira_0113.wav,REAL,ambient,20,0.9921875,1,1,1,1
3,E:\SIH\ira-wakeword\real\positive\standardized\quiet_20cm\ira_0113.wav,REAL,ambient,15,0.9921875,1,1,1,1
3,E:\SIH\ira-wakeword\real\positive\standardized\quiet_20cm\ira_0113.wav,REAL,ambient,10,0.9921875,1,1,1,1
3,E:\SIH\ira-wakeword\real\positive\standardized\quiet_20cm\ira_0113.wav,REAL,ambient,5,0.9921875,1,1,1,1
