event_id,source_positive,condition,expected_timestamp,maximum_score_near_event,threshold,audio_path
0,E:\SIH\ira-wakeword\dataset\positive_all\piper_batch_D\16.wav,clean,13.500,0.0469,0.5,D:\SIH\ira-wakeword\streaming_false_negatives\fn_000_clean.wav
1,E:\SIH\ira-wakeword\dataset\positive_all\synthetic\synthetic_pilot100_28.wav,clean,18.000,0.0078,0.5,D:\SIH\ira-wakeword\streaming_false_negatives\fn_001_clean.wav
2,E:\SIH\ira-wakeword\dataset\positive_all\synthetic\synthetic_lessac_slow_0.wav,clean,27.000,0.0117,0.5,D:\SIH\ira-wakeword\streaming_false_negatives\fn_002_clean.wav
3,E:\SIH\ira-wakeword\dataset\positive_all\piper_batch_C\1353.wav,clean,31.500,0.1055,0.5,D:\SIH\ira-wakeword\streaming_false_negatives\fn_003_clean.wav
4,E:\SIH\ira-wakeword\dataset\positive_all\piper_batch_C\978.wav,clean,36.000,0.3633,0.5,D:\SIH\ira-wakeword\streaming_false_negatives\fn_004_clean.wav
5,E:\SIH\ira-wakeword\dataset\positive_all\piper_batch_B\716.wav,clean,40.500,0.0156,0.5,D:\SIH\ira-wakeword\streaming_false_negatives\fn_005_clean.wav
6,E:\SIH\ira-wakeword\dataset\positive_all\piper_batch_C\896.wav,clean,54.000,0.0156,0.5,D:\SIH\ira-wakeword\streaming_false_negatives\fn_006_clean.wav
7,E:\SIH\ira-wakeword\dataset\positive_all\piper_batch_C\659.wav,clean,63.000,0.0391,0.5,D:\SIH\ira-wakeword\streaming_false_negatives\fn_007_clean.wav
8,E:\SIH\ira-wakeword\dataset\positive_all\piper_batch_C\569.wav,clean,67.500,0.0312,0.5,D:\SIH\ira-wakeword\streaming_false_negatives\fn_008_clean.wav
9,E:\SIH\ira-wakeword\dataset\positive_all\piper_batch_A\85.wav,clean,76.500,0.0742,0.5,D:\SIH\ira-wakeword\streaming_false_negatives\fn_009_clean.wav
10,E:\SIH\ira-wakeword\dataset\positive_all\piper_batch_C\32.wav,clean,81.000,0.1055,0.5,D:\SIH\ira-wakeword\streaming_false_negatives\fn_010_clean.wav
11,E:\SIH\ira-wakeword\dataset\positive_all\piper_batch_C\738.wav,clean,94.500,0.0820,0.5,D:\SIH\ira-wakeword\streaming_false_negatives\fn_011_clean.wav
12,E:\SIH\ira-wakeword\dataset\positive_all\piper_batch_D\209.wav,clean,103.500,0.1055,0.5,D:\SIH\ira-wakeword\streaming_false_negatives\fn_012_clean.wav
13,E:\SIH\ira-wakeword\dataset\positive_all\piper_batch_D\1039.wav,clean,108.000,0.9727,0.5,D:\SIH\ira-wakeword\streaming_false_negatives\fn_013_clean.wav
14,E:\SIH\ira-wakeword\dataset\positive_all\synthetic\synthetic_pilot100_80.wav,clean,117.000,0.0938,0.5,D:\SIH\ira-wakeword\streaming_false_negatives\fn_014_clean.wav
15,E:\SIH\ira-wakeword\dataset\positive_all\piper_batch_A\188.wav,clean,126.000,0.1367,0.5,D:\SIH\ira-wakeword\streaming_false_negatives\fn_015_clean.wav
16,E:\SIH\ira-wakeword\real\positive\standardized\quiet_20cm\ira_066.wav,clean,130.500,0.9531,0.5,D:\SIH\ira-wakeword\streaming_false_negatives\fn_016_clean.wav
17,E:\SIH\ira-wakeword\dataset\positive_all\piper_batch_B\87.wav,clean,139.500,0.0625,0.5,D:\SIH\ira-wakeword\streaming_false_negatives\fn_017_clean.wav
18,E:\SIH\ira-wakeword\dataset\positive_all\piper_batch_A\204.wav,clean,144.000,0.4648,0.5,D:\SIH\ira-wakeword\streaming_false_negatives\fn_018_clean.wav
19,E:\SIH\ira-wakeword\dataset\positive_all\piper_batch_D\885.wav,clean,153.000,0.2422,0.5,D:\SIH\ira-wakeword\streaming_false_negatives\fn_019_clean.wav
20,E:\SIH\ira-wakeword\dataset\positive_all\piper_batch_A\1006.wav,clean,175.500,0.0195,0.5,D:\SIH\ira-wakeword\streaming_false_negatives\fn_020_clean.wav
21,E:\SIH\ira-wakeword\dataset\positive_all\piper_batch_B\1505.wav,clean,189.000,0.1211,0.5,D:\SIH\ira-wakeword\streaming_false_negatives\fn_021_clean.wav
22,E:\SIH\ira-wakeword\dataset\positive_all\piper_batch_B\1435.wav,clean,193.500,0.0625,0.5,D:\SIH\ira-wakeword\streaming_false_negatives\fn_022_clean.wav
23,E:\SIH\ira-wakeword\dataset\positive_all\piper_batch_C\1289.wav,clean,202.500,0.0469,0.5,D:\SIH\ira-wakeword\streaming_false_negatives\fn_023_clean.wav
24,E:\SIH\ira-wakeword\dataset\positive_all\piper_batch_C\1382.wav,clean,207.000,0.3320,0.5,D:\SIH\ira-wakeword\streaming_false_negatives\fn_024_clean.wav
25,E:\SIH\ira-wakeword\dataset\positive_all\piper_batch_C\226.wav,clean,216.000,0.1562,0.5,D:\SIH\ira-wakeword\streaming_false_negatives\fn_025_clean.wav
