trigger_id,source_file,timestamp_sec,model_score,threshold,audio_clip_path
1,D:\SIH\ira-wakeword\dataset\negative\extracted\LibriSpeech\train-clean-5\1088\134315\1088-134315-0001.flac,9.500,0.9375,0.5,D:\SIH\ira-wakeword\streaming_false_triggers\threshold_50\false_trigger_0001.wav
2,D:\SIH\ira-wakeword\dataset\negative\extracted\LibriSpeech\train-clean-5\1088\134315\1088-134315-0006.flac,11.700,0.5352,0.5,D:\SIH\ira-wakeword\streaming_false_triggers\threshold_50\false_trigger_0002.wav
3,D:\SIH\ira-wakeword\dataset\negative\extracted\LibriSpeech\train-clean-5\1088\134315\1088-134315-0009.flac,5.300,0.7305,0.5,D:\SIH\ira-wakeword\streaming_false_triggers\threshold_50\false_trigger_0003.wav
4,D:\SIH\ira-wakeword\dataset\negative\extracted\LibriSpeech\train-clean-5\1088\134315\1088-134315-0010.flac,3.600,0.7305,0.5,D:\SIH\ira-wakeword\streaming_false_triggers\threshold_50\false_trigger_0004.wav
5,D:\SIH\ira-wakeword\dataset\negative\extracted\LibriSpeech\train-clean-5\1088\134315\1088-134315-0015.flac,12.100,0.6992,0.5,D:\SIH\ira-wakeword\streaming_false_triggers\threshold_50\false_trigger_0005.wav
6,D:\SIH\ira-wakeword\dataset\negative\extracted\LibriSpeech\train-clean-5\1088\134315\1088-134315-0016.flac,7.700,0.8633,0.5,D:\SIH\ira-wakeword\streaming_false_triggers\threshold_50\false_trigger_0006.wav
7,D:\SIH\ira-wakeword\dataset\negative\extracted\LibriSpeech\train-clean-5\1088\134315\1088-134315-0017.flac,4.600,0.6055,0.5,D:\SIH\ira-wakeword\streaming_false_triggers\threshold_50\false_trigger_0007.wav
8,D:\SIH\ira-wakeword\dataset\negative\extracted\LibriSpeech\train-clean-5\1088\134315\1088-134315-0022.flac,8.600,0.8047,0.5,D:\SIH\ira-wakeword\streaming_false_triggers\threshold_50\false_trigger_0008.wav
9,D:\SIH\ira-wakeword\dataset\negative\extracted\LibriSpeech\train-clean-5\1088\134315\1088-134315-0033.flac,9.300,0.8242,0.5,D:\SIH\ira-wakeword\streaming_false_triggers\threshold_50\false_trigger_0009.wav
10,D:\SIH\ira-wakeword\dataset\negative\extracted\LibriSpeech\train-clean-5\1088\134315\1088-134315-0036.flac,1.700,0.9570,0.5,D:\SIH\ira-wakeword\streaming_false_triggers\threshold_50\false_trigger_0010.wav
11,D:\SIH\ira-wakeword\dataset\negative\extracted\LibriSpeech\train-clean-5\1088\134315\1088-134315-0038.flac,10.100,0.8047,0.5,D:\SIH\ira-wakeword\streaming_false_triggers\threshold_50\false_trigger_0011.wav
12,D:\SIH\ira-wakeword\dataset\negative\extracted\LibriSpeech\train-clean-5\1088\134315\1088-134315-0047.flac,3.300,0.8945,0.5,D:\SIH\ira-wakeword\streaming_false_triggers\threshold_50\false_trigger_0012.wav
13,D:\SIH\ira-wakeword\dataset\negative\extracted\LibriSpeech\train-clean-5\1088\134315\1088-134315-0048.flac,7.300,0.9258,0.5,D:\SIH\ira-wakeword\streaming_false_triggers\threshold_50\false_trigger_0013.wav
14,D:\SIH\ira-wakeword\dataset\negative\extracted\LibriSpeech\train-clean-5\1088\134315\1088-134315-0049.flac,11.400,0.5000,0.5,D:\SIH\ira-wakeword\streaming_false_triggers\threshold_50\false_trigger_0014.wav
15,D:\SIH\ira-wakeword\dataset\negative\extracted\LibriSpeech\train-clean-5\1088\134318\1088-134318-0000.flac,1.200,0.9727,0.5,D:\SIH\ira-wakeword\streaming_false_triggers\threshold_50\false_trigger_0015.wav
16,D:\SIH\ira-wakeword\dataset\negative\extracted\LibriSpeech\train-clean-5\1088\134318\1088-134318-0006.flac,6.000,0.8242,0.5,D:\SIH\ira-wakeword\streaming_false_triggers\threshold_50\false_trigger_0016.wav
17,D:\SIH\ira-wakeword\dataset\negative\extracted\LibriSpeech\train-clean-5\1088\134318\1088-134318-0008.flac,9.200,0.9258,0.5,D:\SIH\ira-wakeword\streaming_false_triggers\threshold_50\false_trigger_0017.wav
18,D:\SIH\ira-wakeword\dataset\negative\extracted\LibriSpeech\train-clean-5\1088\134318\1088-134318-0009.flac,8.300,0.7305,0.5,D:\SIH\ira-wakeword\streaming_false_triggers\threshold_50\false_trigger_0018.wav
19,D:\SIH\ira-wakeword\dataset\negative\extracted\LibriSpeech\train-clean-5\1088\134318\1088-134318-0013.flac,0.900,0.9570,0.5,D:\SIH\ira-wakeword\streaming_false_triggers\threshold_50\false_trigger_0019.wav
20,D:\SIH\ira-wakeword\dataset\negative\extracted\LibriSpeech\train-clean-5\1088\134318\1088-134318-0013.flac,5.900,0.7812,0.5,D:\SIH\ira-wakeword\streaming_false_triggers\threshold_50\false_trigger_0020.wav
21,D:\SIH\ira-wakeword\dataset\negative\extracted\LibriSpeech\train-clean-5\1088\134318\1088-134318-0021.flac,1.700,0.6367,0.5,D:\SIH\ira-wakeword\streaming_false_triggers\threshold_50\false_trigger_0021.wav
22,D:\SIH\ira-wakeword\dataset\negative\extracted\LibriSpeech\train-clean-5\5789\70653\5789-70653-0000.flac,1.900,0.6367,0.5,D:\SIH\ira-wakeword\streaming_false_triggers\threshold_50\false_trigger_0022.wav
23,D:\SIH\ira-wakeword\dataset\negative\extracted\LibriSpeech\train-clean-5\5789\70653\5789-70653-0002.flac,9.900,0.9062,0.5,D:\SIH\ira-wakeword\streaming_false_triggers\threshold_50\false_trigger_0023.wav
24,D:\SIH\ira-wakeword\dataset\negative\extracted\LibriSpeech\train-clean-5\5789\70653\5789-70653-0004.flac,8.400,0.6992,0.5,D:\SIH\ira-wakeword\streaming_false_triggers\threshold_50\false_trigger_0024.wav
25,D:\SIH\ira-wakeword\dataset\negative\extracted\LibriSpeech\train-clean-5\5789\70653\5789-70653-0006.flac,6.000,0.5703,0.5,D:\SIH\ira-wakeword\streaming_false_triggers\threshold_50\false_trigger_0025.wav
26,D:\SIH\ira-wakeword\dataset\negative\extracted\LibriSpeech\train-clean-5\5789\70653\5789-70653-0007.flac,13.400,0.5000,0.5,D:\SIH\ira-wakeword\streaming_false_triggers\threshold_50\false_trigger_0026.wav
27,D:\SIH\ira-wakeword\dataset\negative\extracted\LibriSpeech\train-clean-5\5789\70653\5789-70653-0008.flac,1.700,0.8438,0.5,D:\SIH\ira-wakeword\streaming_false_triggers\threshold_50\false_trigger_0027.wav
28,D:\SIH\ira-wakeword\dataset\negative\extracted\LibriSpeech\train-clean-5\5789\70653\5789-70653-0009.flac,2.500,0.6992,0.5,D:\SIH\ira-wakeword\streaming_false_triggers\threshold_50\false_trigger_0028.wav
29,D:\SIH\ira-wakeword\dataset\negative\extracted\LibriSpeech\train-clean-5\5789\70653\5789-70653-0013.flac,0.900,0.5000,0.5,D:\SIH\ira-wakeword\streaming_false_triggers\threshold_50\false_trigger_0029.wav
30,D:\SIH\ira-wakeword\dataset\negative\extracted\LibriSpeech\train-clean-5\5789\70653\5789-70653-0015.flac,11.900,0.5703,0.5,D:\SIH\ira-wakeword\streaming_false_triggers\threshold_50\false_trigger_0030.wav
31,D:\SIH\ira-wakeword\dataset\negative\extracted\LibriSpeech\train-clean-5\5789\70653\5789-70653-0016.flac,2.300,0.6367,0.5,D:\SIH\ira-wakeword\streaming_false_triggers\threshold_50\false_trigger_0031.wav
32,D:\SIH\ira-wakeword\dataset\negative\extracted\LibriSpeech\train-clean-5\5789\70653\5789-70653-0016.flac,8.500,0.6367,0.5,D:\SIH\ira-wakeword\streaming_false_triggers\threshold_50\false_trigger_0032.wav
33,D:\SIH\ira-wakeword\dataset\negative\extracted\LibriSpeech\train-clean-5\5789\70653\5789-70653-0018.flac,4.000,0.6367,0.5,D:\SIH\ira-wakeword\streaming_false_triggers\threshold_50\false_trigger_0033.wav
34,D:\SIH\ira-wakeword\dataset\negative\extracted\LibriSpeech\train-clean-5\5789\70653\5789-70653-0018.flac,6.600,0.6055,0.5,D:\SIH\ira-wakeword\streaming_false_triggers\threshold_50\false_trigger_0034.wav
35,D:\SIH\ira-wakeword\dataset\negative\extracted\LibriSpeech\train-clean-5\5789\70653\5789-70653-0026.flac,12.000,0.6367,0.5,D:\SIH\ira-wakeword\streaming_false_triggers\threshold_50\false_trigger_0035.wav
36,D:\SIH\ira-wakeword\dataset\negative\extracted\LibriSpeech\train-clean-5\5789\70653\5789-70653-0028.flac,8.400,0.7578,0.5,D:\SIH\ira-wakeword\streaming_false_triggers\threshold_50\false_trigger_0036.wav
37,D:\SIH\ira-wakeword\dataset\negative\extracted\LibriSpeech\train-clean-5\5789\70653\5789-70653-0030.flac,7.900,0.6055,0.5,D:\SIH\ira-wakeword\streaming_false_triggers\threshold_50\false_trigger_0037.wav
38,D:\SIH\ira-wakeword\dataset\negative\extracted\LibriSpeech\train-clean-5\6848\252323\6848-252323-0001.flac,3.900,0.6055,0.5,D:\SIH\ira-wakeword\streaming_false_triggers\threshold_50\false_trigger_0038.wav
39,D:\SIH\ira-wakeword\dataset\negative\extracted\LibriSpeech\train-clean-5\6848\252323\6848-252323-0002.flac,6.100,0.6680,0.5,D:\SIH\ira-wakeword\streaming_false_triggers\threshold_50\false_trigger_0039.wav
