stream_id,source_positive_file,insertion_timestamp_sec,condition
clean,E:\SIH\ira-wakeword\dataset\positive_all\piper_batch_A\1090.wav,4.500,clean
clean,E:\SIH\ira-wakeword\real\positive\standardized\quiet_1m\ira_0119.wav,9.000,clean
clean,E:\SIH\ira-wakeword\dataset\positive_all\piper_batch_D\16.wav,13.500,clean
clean,E:\SIH\ira-wakeword\dataset\positive_all\synthetic\synthetic_pilot100_28.wav,18.000,clean
clean,E:\SIH\ira-wakeword\dataset\positive_all\piper_batch_A\1835.wav,22.500,clean
clean,E:\SIH\ira-wakeword\dataset\positive_all\synthetic\synthetic_lessac_slow_0.wav,27.000,clean
clean,E:\SIH\ira-wakeword\dataset\positive_all\piper_batch_C\1353.wav,31.500,clean
clean,E:\SIH\ira-wakeword\dataset\positive_all\piper_batch_C\978.wav,36.000,clean
clean,E:\SIH\ira-wakeword\dataset\positive_all\piper_batch_B\716.wav,40.500,clean
clean,E:\SIH\ira-wakeword\dataset\positive_all\piper_batch_C\410.wav,45.000,clean
clean,E:\SIH\ira-wakeword\dataset\positive_all\piper_batch_D\1365.wav,49.500,clean
clean,E:\SIH\ira-wakeword\dataset\positive_all\piper_batch_C\896.wav,54.000,clean
clean,E:\SIH\ira-wakeword\dataset\positive_all\piper_batch_C\1392.wav,58.500,clean
clean,E:\SIH\ira-wakeword\dataset\positive_all\piper_batch_C\659.wav,63.000,clean
clean,E:\SIH\ira-wakeword\dataset\positive_all\piper_batch_C\569.wav,67.500,clean
clean,E:\SIH\ira-wakeword\dataset\positive_all\piper_batch_D\1009.wav,72.000,clean
clean,E:\SIH\ira-wakeword\dataset\positive_all\piper_batch_A\85.wav,76.500,clean
clean,E:\SIH\ira-wakeword\dataset\positive_all\piper_batch_C\32.wav,81.000,clean
clean,E:\SIH\ira-wakeword\dataset\positive_all\piper_batch_D\599.wav,85.500,clean
clean,E:\SIH\ira-wakeword\real\positive\standardized\quiet_20cm\ira_078.wav,90.000,clean
clean,E:\SIH\ira-wakeword\dataset\positive_all\piper_batch_C\738.wav,94.500,clean
clean,E:\SIH\ira-wakeword\dataset\positive_all\piper_batch_B\498.wav,99.000,clean
clean,E:\SIH\ira-wakeword\dataset\positive_all\piper_batch_D\209.wav,103.500,clean
clean,E:\SIH\ira-wakeword\dataset\positive_all\piper_batch_D\1039.wav,108.000,clean
clean,E:\SIH\ira-wakeword\dataset\positive_all\synthetic\synthetic_ryan_60.wav,112.500,clean
clean,E:\SIH\ira-wakeword\dataset\positive_all\synthetic\synthetic_pilot100_80.wav,117.000,clean
clean,E:\SIH\ira-wakeword\real\positive\standardized\quiet_1m\ira_0172.wav,121.500,clean
clean,E:\SIH\ira-wakeword\dataset\positive_all\piper_batch_A\188.wav,126.000,clean
clean,E:\SIH\ira-wakeword\real\positive\standardized\quiet_20cm\ira_066.wav,130.500,clean
clean,E:\SIH\ira-wakeword\dataset\positive_all\piper_batch_B\1118.wav,135.000,clean
clean,E:\SIH\ira-wakeword\dataset\positive_all\piper_batch_B\87.wav,139.500,clean
clean,E:\SIH\ira-wakeword\dataset\positive_all\piper_batch_A\204.wav,144.000,clean
clean,E:\SIH\ira-wakeword\dataset\positive_all\piper_batch_B\1518.wav,148.500,clean
clean,E:\SIH\ira-wakeword\dataset\positive_all\piper_batch_D\885.wav,153.000,clean
clean,E:\SIH\ira-wakeword\real\positive\standardized\quiet_50cm\ira_0188.wav,157.500,clean
clean,E:\SIH\ira-wakeword\dataset\positive_all\piper_batch_B\1050.wav,162.000,clean
clean,E:\SIH\ira-wakeword\dataset\positive_all\piper_batch_A\309.wav,166.500,clean
clean,E:\SIH\ira-wakeword\dataset\positive_all\piper_batch_D\153.wav,171.000,clean
clean,E:\SIH\ira-wakeword\dataset\positive_all\piper_batch_A\1006.wav,175.500,clean
clean,E:\SIH\ira-wakeword\dataset\positive_all\piper_batch_B\1100.wav,180.000,clean
clean,E:\SIH\ira-wakeword\dataset\positive_all\piper_batch_C\1738.wav,184.500,clean
clean,E:\SIH\ira-wakeword\dataset\positive_all\piper_batch_B\1505.wav,189.000,clean
clean,E:\SIH\ira-wakeword\dataset\positive_all\piper_batch_B\1435.wav,193.500,clean
clean,E:\SIH\ira-wakeword\dataset\positive_all\piper_batch_B\579.wav,198.000,clean
clean,E:\SIH\ira-wakeword\dataset\positive_all\piper_batch_C\1289.wav,202.500,clean
clean,E:\SIH\ira-wakeword\dataset\positive_all\piper_batch_C\1382.wav,207.000,clean
clean,E:\SIH\ira-wakeword\dataset\positive_all\piper_batch_A\62.wav,211.500,clean
clean,E:\SIH\ira-wakeword\dataset\positive_all\piper_batch_C\226.wav,216.000,clean
clean,E:\SIH\ira-wakeword\real\positive\standardized\quiet_1m\ira_038.wav,220.500,clean
clean,E:\SIH\ira-wakeword\real\positive\standardized\quiet_1m\ira_0157.wav,225.000,clean
clean,E:\SIH\ira-wakeword\dataset\positive_all\piper_batch_B\276.wav,229.500,clean
