source_positive,background_source_file,background_start_sec,background_type,target_snr_db,measured_final_snr_db,speech_start_sample,speech_start_ms,speech_duration_ms,pre_gain_peak,common_gain,final_peak,final_speech_rms,final_background_rms,output_file
964.wav,669_669-129074-0014_neg_005.wav,0.000,speech,-4.7,-4.7,7077,442.3,548.5,1.4976,0.6611,0.9900,0.13651,0.23474,aug_01_speech_low_snr.wav
20.wav,3526_3526-176653-0006_neg_004.wav,0.000,speech,12.7,12.7,4412,275.8,339.6,0.9163,1.0000,0.9163,0.20011,0.04650,aug_02_speech_random.wav
434.wav,background_00673.wav,0.000,ambient,16.5,16.5,7926,495.4,384.0,0.8240,1.0000,0.8240,0.18919,0.02819,aug_03_ambient_high_snr.wav
1996.wav,background_00429.wav,0.000,ambient,3.3,3.3,792,49.5,640.0,1.1991,0.8256,0.9900,0.16505,0.11298,aug_04_ambient_low_snr.wav
1569.wav,background_00087.wav,0.000,ambient,12.7,12.7,494,30.9,432.5,0.8542,1.0000,0.8542,0.17789,0.04102,aug_05_ambient_random.wav
1432.wav,7367_7367-86737-0005_neg_000.wav,0.000,speech,23.5,23.5,5294,330.9,362.8,0.8032,1.0000,0.8032,0.17425,0.01162,aug_06_speech_high_snr.wav
784.wav,background_01031.wav,0.000,ambient,9.8,9.8,9086,567.9,384.0,0.7819,1.0000,0.7819,0.14829,0.04778,aug_07_ambient_med_snr.wav
950.wav,3526_3526-176653-0047_neg_004.wav,0.000,speech,7.3,7.3,4152,259.5,416.0,0.9545,1.0000,0.9545,0.18459,0.07991,aug_08_speech_med_snr.wav
synthetic_amy_normal_45.wav,226_226-122538-0022_neg_011.wav,0.000,speech,13.5,13.5,3123,195.2,544.0,1.0322,0.9591,0.9900,0.21685,0.04572,aug_09_speech_med_snr.wav
synthetic_hfc_female_fast_30.wav,none,0.000,clean,clean,clean,6515,407.2,512.0,1.0000,1.0000,1.0000,0.24751,0.00000,aug_10_clean_none.wav
1351.wav,background_00599.wav,0.000,ambient,13.8,13.8,4305,269.1,420.8,0.5881,1.0000,0.5881,0.14675,0.03002,aug_11_ambient_med_snr.wav
1527.wav,none,0.000,clean,clean,clean,5271,329.4,448.0,0.6181,1.0000,0.6181,0.14105,0.00000,aug_12_clean_none.wav
473.wav,3526_3526-176653-0045_neg_001.wav,0.000,speech,1.4,1.4,2408,150.5,448.0,0.8990,1.0000,0.8990,0.14157,0.12055,aug_13_speech_low_snr.wav
254.wav,background_00591.wav,0.000,ambient,14.6,14.6,7797,487.3,429.6,0.6760,1.0000,0.6760,0.14038,0.02626,aug_14_ambient_random.wav
228.wav,background_00755.wav,0.000,ambient,17.5,17.5,7327,457.9,416.0,0.8985,1.0000,0.8985,0.20001,0.02673,aug_15_ambient_high_snr.wav
123.wav,background_00361.wav,0.000,ambient,6.3,6.3,491,30.7,384.0,0.7890,1.0000,0.7890,0.15567,0.07502,aug_16_ambient_med_snr.wav
1463.wav,3664_3664-178355-0017_neg_004.wav,0.000,speech,15.2,15.2,6561,410.1,544.0,1.0256,0.9653,0.9900,0.18566,0.03234,aug_17_speech_high_snr.wav
1327.wav,background_01054.wav,0.000,ambient,-2.9,-2.9,5476,342.2,478.9,1.0247,0.9661,0.9900,0.14411,0.20200,aug_18_ambient_low_snr.wav
632.wav,none,0.000,clean,clean,clean,1522,95.1,416.0,0.7732,1.0000,0.7732,0.15481,0.00000,aug_19_clean_none.wav
484.wav,4640_4640-19188-0023_neg_004.wav,0.000,speech,7.1,7.1,8005,500.3,362.8,1.0890,0.9091,0.9900,0.12554,0.05515,aug_20_speech_med_snr.wav
