path,speaker_id,V2_score
E:\SIH\ira-wakeword\dataset\negative\speech\118_118-47824-0000_neg_013.wav,118,0.591754
E:\SIH\ira-wakeword\dataset\negative\speech\118_118-47824-0001_neg_001.wav,118,0.084509
E:\SIH\ira-wakeword\dataset\negative\speech\118_118-47824-0001_neg_009.wav,118,0.920323
E:\SIH\ira-wakeword\dataset\negative\speech\118_118-47824-0001_neg_013.wav,118,0.750754
E:\SIH\ira-wakeword\dataset\negative\speech\118_118-47824-0004_neg_003.wav,118,0.003994
E:\SIH\ira-wakeword\dataset\negative\speech\118_118-47824-0004_neg_004.wav,118,0.035230
E:\SIH\ira-wakeword\dataset\negative\speech\118_118-47824-0005_neg_003.wav,118,0.053729
E:\SIH\ira-wakeword\dataset\negative\speech\118_118-47824-0005_neg_009.wav,118,0.874768
E:\SIH\ira-wakeword\dataset\negative\speech\118_118-47824-0005_neg_010.wav,118,0.001803
E:\SIH\ira-wakeword\dataset\negative\speech\118_118-47824-0006_neg_000.wav,118,0.373653
E:\SIH\ira-wakeword\dataset\negative\speech\118_118-47824-0006_neg_005.wav,118,0.180270
E:\SIH\ira-wakeword\dataset\negative\speech\118_118-47824-0006_neg_010.wav,118,0.179106
E:\SIH\ira-wakeword\dataset\negative\speech\118_118-47824-0007_neg_006.wav,118,0.468063
E:\SIH\ira-wakeword\dataset\negative\speech\118_118-47824-0008_neg_001.wav,118,0.144229
E:\SIH\ira-wakeword\dataset\negative\speech\118_118-47824-0008_neg_010.wav,118,0.475476
E:\SIH\ira-wakeword\dataset\negative\speech\118_118-47824-0008_neg_013.wav,118,0.120995
E:\SIH\ira-wakeword\dataset\negative\speech\118_118-47824-0009_neg_004.wav,118,0.011386
E:\SIH\ira-wakeword\dataset\negative\speech\118_118-47824-0009_neg_007.wav,118,0.454523
E:\SIH\ira-wakeword\dataset\negative\speech\118_118-47824-0009_neg_008.wav,118,0.039817
E:\SIH\ira-wakeword\dataset\negative\speech\118_118-47824-0010_neg_008.wav,118,0.037638
E:\SIH\ira-wakeword\dataset\negative\speech\118_118-47824-0011_neg_000.wav,118,0.153125
E:\SIH\ira-wakeword\dataset\negative\speech\118_118-47824-0011_neg_006.wav,118,0.438081
E:\SIH\ira-wakeword\dataset\negative\speech\118_118-47824-0011_neg_010.wav,118,0.619666
E:\SIH\ira-wakeword\dataset\negative\speech\118_118-47824-0011_neg_012.wav,118,0.533929
E:\SIH\ira-wakeword\dataset\negative\speech\118_118-47824-0014_neg_003.wav,118,0.212187
E:\SIH\ira-wakeword\dataset\negative\speech\118_118-47824-0014_neg_007.wav,118,0.139899
E:\SIH\ira-wakeword\dataset\negative\speech\118_118-47824-0014_neg_008.wav,118,0.128584
E:\SIH\ira-wakeword\dataset\negative\speech\118_118-47824-0015_neg_000.wav,118,0.159228
E:\SIH\ira-wakeword\dataset\negative\speech\118_118-47824-0016_neg_001.wav,118,0.060991
E:\SIH\ira-wakeword\dataset\negative\speech\118_118-47824-0016_neg_007.wav,118,0.186892
E:\SIH\ira-wakeword\dataset\negative\speech\118_118-47824-0016_neg_011.wav,118,0.681446
E:\SIH\ira-wakeword\dataset\negative\speech\118_118-47824-0016_neg_013.wav,118,0.059955
E:\SIH\ira-wakeword\dataset\negative\speech\118_118-47824-0017_neg_003.wav,118,0.063473
E:\SIH\ira-wakeword\dataset\negative\speech\118_118-47824-0017_neg_004.wav,118,0.051604
E:\SIH\ira-wakeword\dataset\negative\speech\118_118-47824-0017_neg_007.wav,118,0.072322
E:\SIH\ira-wakeword\dataset\negative\speech\118_118-47824-0017_neg_010.wav,118,0.019576
E:\SIH\ira-wakeword\dataset\negative\speech\118_118-47824-0018_neg_001.wav,118,0.005167
E:\SIH\ira-wakeword\dataset\negative\speech\118_118-47824-0018_neg_008.wav,118,0.010217
E:\SIH\ira-wakeword\dataset\negative\speech\118_118-47824-0018_neg_010.wav,118,0.049167
E:\SIH\ira-wakeword\dataset\negative\speech\118_118-47824-0019_neg_007.wav,118,0.361654
E:\SIH\ira-wakeword\dataset\negative\speech\118_118-47824-0019_neg_008.wav,118,0.029737
E:\SIH\ira-wakeword\dataset\negative\speech\118_118-47824-0020_neg_001.wav,118,0.157142
E:\SIH\ira-wakeword\dataset\negative\speech\118_118-47824-0020_neg_004.wav,118,0.674364
E:\SIH\ira-wakeword\dataset\negative\speech\118_118-47824-0022_neg_001.wav,118,0.146227
E:\SIH\ira-wakeword\dataset\negative\speech\118_118-47824-0023_neg_001.wav,118,0.022098
E:\SIH\ira-wakeword\dataset\negative\speech\118_118-47824-0023_neg_003.wav,118,0.053842
E:\SIH\ira-wakeword\dataset\negative\speech\118_118-47824-0024_neg_003.wav,118,0.019238
E:\SIH\ira-wakeword\dataset\negative\speech\118_118-47824-0024_neg_007.wav,118,0.560828
E:\SIH\ira-wakeword\dataset\negative\speech\118_118-47824-0024_neg_009.wav,118,0.013820
E:\SIH\ira-wakeword\dataset\negative\speech\118_118-47824-0027_neg_003.wav,118,0.001935
E:\SIH\ira-wakeword\dataset\negative\speech\118_118-47824-0027_neg_011.wav,118,0.389610
E:\SIH\ira-wakeword\dataset\negative\speech\118_118-47824-0028_neg_000.wav,118,0.065278
E:\SIH\ira-wakeword\dataset\negative\speech\118_118-47824-0028_neg_002.wav,118,0.075779
E:\SIH\ira-wakeword\dataset\negative\speech\118_118-47824-0029_neg_000.wav,118,0.337695
E:\SIH\ira-wakeword\dataset\negative\speech\118_118-47824-0029_neg_005.wav,118,0.233542
E:\SIH\ira-wakeword\dataset\negative\speech\118_118-47824-0029_neg_009.wav,118,0.006171
E:\SIH\ira-wakeword\dataset\negative\speech\118_118-47824-0029_neg_011.wav,118,0.394551
E:\SIH\ira-wakeword\dataset\negative\speech\118_118-47824-0029_neg_013.wav,118,0.049971
E:\SIH\ira-wakeword\dataset\negative\speech\118_118-47824-0031_neg_008.wav,118,0.018908
