file,condition,peak,clipped_samples,clipping_percentage
quiet_1m\ira_001.wav,quiet_1m,0.999847,10,0.0625
quiet_1m\ira_002.wav,quiet_1m,0.999969,32,0.2000
quiet_1m\ira_003.wav,quiet_1m,0.999878,20,0.1250
quiet_1m\ira_004.wav,quiet_1m,0.999939,49,0.3063
quiet_1m\ira_005.wav,quiet_1m,0.999969,53,0.3312
quiet_1m\ira_006.wav,quiet_1m,0.999939,52,0.3250
quiet_1m\ira_007.wav,quiet_1m,0.999969,61,0.3812
quiet_1m\ira_008.wav,quiet_1m,0.999969,43,0.2687
quiet_1m\ira_009.wav,quiet_1m,0.999969,32,0.2000
quiet_1m\ira_010.wav,quiet_1m,0.999969,36,0.2250
quiet_1m\ira_011.wav,quiet_1m,0.999969,20,0.1250
quiet_1m\ira_012.wav,quiet_1m,0.999969,17,0.1063
quiet_1m\ira_013.wav,quiet_1m,0.999969,41,0.2563
quiet_1m\ira_014.wav,quiet_1m,0.999969,45,0.2812
quiet_1m\ira_015.wav,quiet_1m,0.999969,21,0.1313
quiet_1m\ira_016.wav,quiet_1m,0.999969,44,0.2750
quiet_1m\ira_017.wav,quiet_1m,0.999969,29,0.1813
quiet_1m\ira_018.wav,quiet_1m,0.999969,70,0.4375
quiet_1m\ira_019.wav,quiet_1m,0.999939,37,0.2312
quiet_1m\ira_020.wav,quiet_1m,0.999969,36,0.2250
quiet_1m\ira_067.wav,quiet_1m,0.999603,1,0.0063
quiet_20cm\ira_001.wav,quiet_20cm,0.999817,5,0.0312
quiet_20cm\ira_002.wav,quiet_20cm,0.999908,4,0.0250
quiet_20cm\ira_003.wav,quiet_20cm,0.999939,2,0.0125
quiet_20cm\ira_007.wav,quiet_20cm,0.999969,6,0.0375
quiet_20cm\ira_011.wav,quiet_20cm,0.999969,6,0.0375
quiet_20cm\ira_013.wav,quiet_20cm,0.999512,2,0.0125
quiet_20cm\ira_041.wav,quiet_20cm,0.999878,3,0.0187
quiet_20cm\ira_042.wav,quiet_20cm,0.999969,9,0.0562
quiet_20cm\ira_043.wav,quiet_20cm,0.999664,2,0.0125
quiet_20cm\ira_044.wav,quiet_20cm,0.999908,2,0.0125
quiet_20cm\ira_045.wav,quiet_20cm,0.999908,6,0.0375
quiet_20cm\ira_046.wav,quiet_20cm,0.999023,1,0.0063
quiet_20cm\ira_047.wav,quiet_20cm,1.000000,1,0.0063
quiet_20cm\ira_049.wav,quiet_20cm,0.999603,1,0.0063
quiet_20cm\ira_050.wav,quiet_20cm,0.999908,32,0.2000
quiet_20cm\ira_051.wav,quiet_20cm,0.999969,31,0.1938
quiet_20cm\ira_052.wav,quiet_20cm,0.999969,45,0.2812
quiet_20cm\ira_053.wav,quiet_20cm,0.999969,56,0.3500
quiet_20cm\ira_054.wav,quiet_20cm,0.999969,18,0.1125
quiet_20cm\ira_055.wav,quiet_20cm,0.999969,50,0.3125
quiet_50cm\ira_001.wav,quiet_50cm,0.999969,4,0.0250
quiet_50cm\ira_002.wav,quiet_50cm,0.999878,6,0.0375
quiet_50cm\ira_003.wav,quiet_50cm,0.999969,20,0.1250
quiet_50cm\ira_004.wav,quiet_50cm,0.999847,5,0.0312
quiet_50cm\ira_005.wav,quiet_50cm,0.999512,1,0.0063
quiet_50cm\ira_006.wav,quiet_50cm,0.999908,17,0.1063
quiet_50cm\ira_007.wav,quiet_50cm,0.999817,6,0.0375
quiet_50cm\ira_008.wav,quiet_50cm,0.999939,9,0.0562
quiet_50cm\ira_009.wav,quiet_50cm,0.999969,33,0.2063
quiet_50cm\ira_010.wav,quiet_50cm,0.999969,5,0.0312
quiet_50cm\ira_011.wav,quiet_50cm,0.999969,57,0.3563
quiet_50cm\ira_012.wav,quiet_50cm,0.999969,30,0.1875
quiet_50cm\ira_013.wav,quiet_50cm,0.999969,88,0.5500
quiet_50cm\ira_014.wav,quiet_50cm,0.999969,44,0.2750
quiet_50cm\ira_015.wav,quiet_50cm,0.999939,14,0.0875
quiet_50cm\ira_016.wav,quiet_50cm,0.999969,59,0.3687
quiet_50cm\ira_017.wav,quiet_50cm,0.999969,51,0.3187
quiet_50cm\ira_018.wav,quiet_50cm,0.999969,48,0.3000
quiet_50cm\ira_019.wav,quiet_50cm,0.999939,40,0.2500
quiet_50cm\ira_020.wav,quiet_50cm,0.999969,29,0.1813
