source_file,source_type,offset_ms,score,pred_0_50
E:\SIH\ira-wakeword\real\positive\standardized\quiet_20cm\ira_002.wav,REAL,0,0.9375,1
E:\SIH\ira-wakeword\real\positive\standardized\quiet_20cm\ira_0112.wav,REAL,0,0.9921875,1
E:\SIH\ira-wakeword\real\positive\standardized\quiet_20cm\ira_0113.wav,REAL,0,0.9921875,1
E:\SIH\ira-wakeword\real\positive\standardized\quiet_20cm\ira_0115.wav,REAL,0,0.99609375,1
E:\SIH\ira-wakeword\real\positive\standardized\quiet_20cm\ira_0128.wav,REAL,0,0.9921875,1
E:\SIH\ira-wakeword\real\positive\standardized\quiet_20cm\ira_0129.wav,REAL,0,0.9765625,1
E:\SIH\ira-wakeword\real\positive\standardized\quiet_20cm\ira_0142.wav,REAL,0,0.984375,1
E:\SIH\ira-wakeword\real\positive\standardized\quiet_20cm\ira_0157.wav,REAL,0,0.99609375,1
E:\SIH\ira-wakeword\real\positive\standardized\quiet_20cm\ira_0170.wav,REAL,0,0.9375,1
E:\SIH\ira-wakeword\real\positive\standardized\quiet_20cm\ira_0171.wav,REAL,0,0.95703125,1
E:\SIH\ira-wakeword\real\positive\standardized\quiet_20cm\ira_0172.wav,REAL,0,0.984375,1
E:\SIH\ira-wakeword\real\positive\standardized\quiet_20cm\ira_0175.wav,REAL,0,0.96875,1
E:\SIH\ira-wakeword\real\positive\standardized\quiet_20cm\ira_0180.wav,REAL,0,0.9765625,1
E:\SIH\ira-wakeword\real\positive\standardized\quiet_20cm\ira_0190.wav,REAL,0,0.9921875,1
E:\SIH\ira-wakeword\real\positive\standardized\quiet_20cm\ira_0229.wav,REAL,0,0.98828125,1
E:\SIH\ira-wakeword\real\positive\standardized\quiet_20cm\ira_025.wav,REAL,0,0.90625,1
E:\SIH\ira-wakeword\real\positive\standardized\quiet_20cm\ira_049.wav,REAL,0,0.84375,1
E:\SIH\ira-wakeword\real\positive\standardized\quiet_20cm\ira_065.wav,REAL,0,0.95703125,1
E:\SIH\ira-wakeword\real\positive\standardized\quiet_20cm\ira_066.wav,REAL,0,0.9453125,1
E:\SIH\ira-wakeword\real\positive\standardized\quiet_20cm\ira_077.wav,REAL,0,0.9609375,1
E:\SIH\ira-wakeword\real\positive\standardized\quiet_20cm\ira_078.wav,REAL,0,0.90625,1
E:\SIH\ira-wakeword\real\positive\standardized\quiet_20cm\ira_093.wav,REAL,0,0.96875,1
E:\SIH\ira-wakeword\real\positive\standardized\quiet_20cm\ira_099.wav,REAL,0,0.9765625,1
E:\SIH\ira-wakeword\real\positive\standardized\quiet_50cm\ira_0104.wav,REAL,0,0.984375,1
E:\SIH\ira-wakeword\real\positive\standardized\quiet_50cm\ira_0106.wav,REAL,0,0.99609375,1
E:\SIH\ira-wakeword\real\positive\standardized\quiet_50cm\ira_0115.wav,REAL,0,0.99609375,1
E:\SIH\ira-wakeword\real\positive\standardized\quiet_50cm\ira_0117.wav,REAL,0,0.99609375,1
E:\SIH\ira-wakeword\real\positive\standardized\quiet_50cm\ira_0136.wav,REAL,0,0.98828125,1
E:\SIH\ira-wakeword\real\positive\standardized\quiet_50cm\ira_0137.wav,REAL,0,0.98828125,1
E:\SIH\ira-wakeword\real\positive\standardized\quiet_50cm\ira_015.wav,REAL,0,0.7578125,1
E:\SIH\ira-wakeword\real\positive\standardized\quiet_50cm\ira_015.wav,REAL,100,0.2421875,0
E:\SIH\ira-wakeword\real\positive\standardized\quiet_50cm\ira_0170.wav,REAL,0,0.984375,1
E:\SIH\ira-wakeword\real\positive\standardized\quiet_50cm\ira_0174.wav,REAL,0,0.99609375,1
E:\SIH\ira-wakeword\real\positive\standardized\quiet_50cm\ira_0186.wav,REAL,0,0.9921875,1
E:\SIH\ira-wakeword\real\positive\standardized\quiet_50cm\ira_0188.wav,REAL,0,0.99609375,1
E:\SIH\ira-wakeword\real\positive\standardized\quiet_50cm\ira_0190.wav,REAL,0,0.9921875,1
E:\SIH\ira-wakeword\real\positive\standardized\quiet_50cm\ira_0192.wav,REAL,0,0.9921875,1
E:\SIH\ira-wakeword\real\positive\standardized\quiet_50cm\ira_0196.wav,REAL,0,0.9921875,1
